mass,limit_m2,limit_m1,limit_p1,limit_p2,limit_exp,limit_obs,nominal_cross-section
700,2.9586,2.9586,5.9002,8.1827,4.7477,2.9586,37.8700
750,2.6555,2.6555,2.6555,4.7952,2.6555,2.6555,33.9900
800,2.3844,2.3844,2.6717,2.5988,2.3844,3.2855,30.5200
850,2.1422,2.1422,2.1422,2.0734,2.1422,2.3279,27.4200
900,1.9281,1.9281,1.9281,1.9281,1.9281,1.9281,24.6800
950,1.7391,1.7391,1.7391,1.7391,1.7391,1.7391,22.2600
1000,1.5711,1.5711,1.5711,1.5711,1.5711,1.5711,20.1100
1050,1.4203,1.4203,1.4203,1.4203,1.4203,1.4203,18.1800
1100,1.2852,1.2852,1.2852,1.2852,1.2852,1.2852,16.4500
1150,1.1633,1.1633,1.1633,1.1633,1.1633,1.1633,14.8900
1200,1.0547,1.0547,1.0547,1.0547,1.0547,1.0547,13.5000
1250,0.9570,0.9570,0.9570,0.9570,0.9570,0.9570,12.2500
1300,0.8703,0.8703,0.8703,0.8703,0.8703,0.8703,11.1400
1350,0.7914,0.7914,0.7914,0.7914,0.7914,0.7914,10.1300
1400,0.7209,0.7209,0.7209,0.7209,0.7209,0.7209,9.2280
1450,0.6568,0.6568,0.6568,0.6568,0.6568,0.6568,8.4070
1500,0.5985,0.5985,0.5985,0.5793,0.5985,0.5985,7.6610
1550,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,6.9850
1600,0.4977,0.4977,0.4977,0.4817,0.4977,0.4977,6.3700
1650,0.4540,0.4540,0.4540,0.4394,0.4540,0.4540,5.8110
1700,0.4142,0.4142,0.4142,0.4009,0.4142,0.4142,5.3020
1750,0.3782,0.3782,0.3782,0.4450,0.3782,0.3782,4.8410
1800,0.3455,0.3455,0.3455,0.3344,0.3455,,4.4220
1850,0.3158,0.3158,0.3132,0.3158,0.3158,0.3158,4.0420
1900,0.2888,0.2888,0.2888,0.3147,0.2888,0.2888,3.6960
1950,0.2641,0.2641,0.2620,0.3294,0.2641,,3.3810
2000,0.2416,0.2416,0.2708,0.3411,0.2618,,3.0930
2050,0.2209,0.2209,0.2209,0.3490,0.2209,,2.8280
2100,0.2020,0.2020,0.2601,0.3114,0.2503,,2.5860
2150,0.1846,0.1846,0.2496,0.3352,0.2000,,2.3630
2200,0.1688,0.1688,0.2282,0.3141,0.1829,,2.1600
2250,0.1542,0.2103,0.2257,0.3140,0.1911,,1.9740
2300,0.1410,0.1658,0.2198,0.4230,0.1747,,1.8050
2350,0.1726,0.1517,0.2115,0.3870,0.1598,,1.6510
2400,0.1579,0.1180,0.2177,0.2885,0.1893,,1.5100
2450,0.1079,0.1665,0.2097,0.2800,0.1807,,1.3810
2500,0.1600,0.1161,0.1988,0.2461,0.1428,,1.2640
2550,0.0903,0.1062,0.1959,0.2616,0.1416,,1.1560
2600,0.1047,0.1341,0.1899,0.2675,0.1454,,1.0570
2650,0.1091,0.1488,0.1931,0.2381,0.1352,,0.9657
2700,0.0689,0.1374,0.1787,0.2568,0.2066,,0.8816
2750,0.1885,0.1885,0.1630,0.2403,0.1486,,0.8042
2800,0.0573,0.1719,0.1867,0.2310,0.1498,,0.7333
2850,0.1567,0.1372,0.1731,0.2346,0.1492,,0.6684
2900,0.1427,0.1341,0.1744,0.2280,0.1422,,0.6090
2950,0.1314,0.1304,0.1555,0.2349,0.1417,,0.5549
3000,0.1185,0.1364,0.1791,0.2233,0.1385,,0.5056
3050,0.0360,0.1375,0.1644,0.2151,0.1404,,0.4607
3100,0.1309,0.1276,0.1572,0.2161,0.1366,,0.4198
3150,0.1494,0.1054,0.1587,0.2058,0.1277,,0.3825
3200,0.1361,0.1073,0.1657,0.2008,0.1316,,0.3485
3250,0.1239,0.1323,0.1500,0.2146,0.1378,,0.3173
3300,0.1127,0.1260,0.1542,0.2021,0.1188,,0.2885
3350,0.1022,0.1304,0.1512,0.1969,0.1323,,0.2617
3400,0.1479,0.1303,0.1593,0.1927,0.1198,,0.2366
3450,0.1290,0.1299,0.1599,0.1935,0.1317,,0.2127
3500,0.1289,0.1333,0.1466,0.2011,0.1374,,0.1897
