mass,limit_m2,limit_m1,limit_p1,limit_p2,limit_exp,limit_obs,nominal_cross-section
700,3.9062,5.8378,10.9123,14.5432,7.9695,7.4357,10
750,2.8906,4.2260,8.4277,11.7347,6.1230,5.0108,10
800,2.5918,3.3145,6.6453,9.2466,4.5886,2.9829,10
850,1.7425,2.8126,5.4191,7.0395,3.8394,3.1355,10
900,1.4844,2.3306,4.7032,6.1279,3.1825,3.2914,10
950,1.5625,2.0323,3.7587,5.2467,2.7470,3.8392,10
1000,1.3281,1.6642,3.3289,4.4564,2.3072,4.5915,10
1050,1.1719,1.5133,2.8843,3.9311,2.0473,4.4118,10
1100,0.8594,1.3084,2.5241,3.4868,1.8264,3.2506,10
1150,0.8594,1.0732,2.3117,3.2007,1.5400,2.0686,10
1200,0.8881,1.0846,2.1236,2.8622,1.3736,1.7989,10
1250,0.7819,0.9751,1.9378,2.7320,1.3250,1.6284,10
1300,0.7268,0.9313,1.7122,2.3297,1.2336,1.2390,10
1350,0.3906,0.8304,1.6183,2.2214,1.1542,0.9365,10
1400,0.5469,0.6931,1.5320,1.9846,1.0453,0.7489,10
1450,0.6128,0.7682,1.3787,1.8980,1.0644,0.6716,10
1500,0.2344,0.7099,1.2808,1.7005,0.8785,0.7571,10
1550,0.5697,0.6740,1.1397,1.6733,0.8273,0.7138,10
1600,0.5469,0.6198,1.1536,1.5856,0.7983,0.9926,10
1650,0.3906,0.6223,1.0836,1.4726,0.7705,1.0673,10
1700,0.4875,0.5802,0.9916,1.3764,0.7382,1.2769,10
1750,0.4688,0.5469,0.9247,1.3109,0.6778,1.2982,10
1800,0.4831,0.5351,0.8861,1.3042,0.6870,1.1057,10
1850,0.3906,0.4786,0.8777,1.1959,0.6320,0.8987,10
1900,0.3906,0.5036,0.8221,1.0663,0.6111,0.7304,10
1950,0.1568,0.4855,0.8092,1.0723,0.5889,0.6554,10
2000,0.2344,0.4787,0.7673,1.1220,0.5212,0.5810,10
2050,0.3954,0.4128,0.7513,0.9693,0.5249,0.4695,10
2100,0.2344,0.4491,0.6645,0.9849,0.5055,0.4377,10
2150,0.2344,0.4261,0.6724,0.9466,0.5354,0.4257,10
2200,0.3906,0.4146,0.6606,0.9512,0.5023,0.4503,10
2250,0.2344,0.4237,0.6327,0.8829,0.5157,0.4458,10
2300,0.2344,0.4222,0.5714,0.8933,0.5044,0.4692,10
2350,0.2344,0.4073,0.6273,0.8097,0.4593,0.4466,10
2400,0.4247,0.4164,0.5340,0.8452,0.4482,0.4192,10
2450,0.3701,0.4074,0.5734,0.8239,0.4329,0.4138,10
2500,0.3906,0.4023,0.5371,0.7729,0.4506,0.4118,10
2550,0.2344,0.3905,0.5678,0.7483,0.4317,0.4099,10
2600,0.3906,0.4228,0.5562,0.7380,0.4371,0.4312,10
2650,0.3969,0.3794,0.5272,0.7541,0.4329,0.4561,10
2700,0.2344,0.3888,0.5244,0.6963,0.4297,0.4543,10
2750,0.3939,0.3832,0.5418,0.6968,0.4017,0.4655,10
2800,0.3906,0.3928,0.5141,0.6987,0.4385,0.4235,10
2850,0.3906,0.4004,0.4966,0.6727,0.4320,0.4274,10
2900,0.2344,0.3726,0.4861,0.7010,0.4242,0.4113,10
2950,0.3906,0.4069,0.4654,0.6369,0.3871,0.4012,10
3000,0.2874,0.3906,0.4657,0.6514,0.3808,0.3948,10
3050,0.2344,0.3920,0.5247,0.6279,0.4048,0.4213,10
3100,0.2344,0.3950,0.4792,0.6331,0.4110,0.3850,10
3150,0.3797,0.3769,0.4216,0.6193,0.3798,0.3950,10
3200,0.3906,0.4040,0.4721,0.6127,0.3915,0.3915,10
3250,0.3906,0.3871,0.4638,0.6106,0.4106,0.3972,10
3300,0.3999,0.4042,0.4619,0.6140,0.4109,0.3862,10
3350,0.2344,0.3984,0.4708,0.5733,0.4024,0.3730,10
3400,0.3954,0.3782,0.4512,0.5656,0.3957,0.3965,10
3450,0.3614,0.4037,0.4796,0.5614,0.3989,0.3841,10
3500,0.4058,0.3501,0.4320,0.5986,0.4102,0.3757,10
