mass,limit_m2,limit_m1,limit_p1,limit_p2,limit_exp,limit_obs,nominal_cross-section
700,5.7500,8.8932,18.3651,24.9847,13.0812,11.1351,10
750,5.4688,7.3050,13.9831,18.5530,9.7968,7.9231,10
800,3.6591,4.6684,10.8732,14.5797,7.9894,5.7865,10
850,2.3438,4.4993,8.7646,12.2891,6.3935,5.0600,10
900,3.0812,3.9816,8.1157,10.2121,5.6815,5.9602,10
950,2.3438,3.3976,6.6735,9.0995,4.5055,7.2215,10
1000,2.3438,3.1327,5.6445,8.6917,4.2418,8.0331,10
1050,2.3438,2.9038,5.2793,7.5991,4.0385,7.8205,10
1100,0.7812,2.3438,4.8645,7.0394,3.4899,6.9115,10
1150,0.7812,2.3438,4.2665,6.7088,2.4814,5.4664,10
1200,2.3438,2.0731,4.9340,6.1944,3.1638,4.6157,10
1250,0.7812,2.1371,4.3847,5.5189,2.8843,3.6999,10
1300,1.6060,2.3438,3.7000,5.7218,2.8237,3.1100,10
1350,0.7812,2.3438,3.8975,5.3193,2.7269,2.5943,10
1400,1.5941,2.3438,3.6696,4.6139,2.5564,2.3233,10
1450,0.7812,2.3438,3.5334,5.1948,2.5431,2.3462,10
1500,0.7812,2.3438,3.5111,5.0079,2.6384,2.4293,10
1550,0.7812,2.3438,3.6668,4.8527,2.5529,2.6151,10
1600,0.5227,1.9300,3.7155,4.9331,2.5720,3.4553,10
1650,0.7812,0.9696,3.4396,4.6893,2.2554,3.7118,10
1700,0.7812,2.3438,3.7590,4.6139,2.5961,3.9182,10
1750,0.7812,1.9402,3.5414,4.7343,2.3915,4.1055,10
1800,1.5663,2.3438,3.6495,4.7770,2.4855,3.9305,10
1850,0.7812,2.3438,3.8111,4.9204,2.4896,3.8387,10
1900,0.7812,2.3438,3.6022,5.1121,2.4475,3.7489,10
1950,0.7812,2.2360,3.8700,5.6340,2.7512,3.6110,10
2000,2.3438,2.2931,4.0696,5.5905,3.0655,3.3376,10
2050,0.7812,2.2673,4.0950,5.6149,2.9951,3.2373,10
2100,2.3438,2.4677,4.3759,5.5780,3.0294,3.3579,10
2150,0.7812,2.5258,3.7720,5.6704,3.1285,3.2120,10
2200,2.3438,2.6569,4.2160,5.7273,3.1703,3.2788,10
2250,2.3438,2.6555,3.7073,5.9246,3.2397,3.4543,10
2300,2.3438,2.7004,4.8845,6.6847,3.4769,3.7021,10
2350,0.7812,2.6428,5.3711,6.9838,3.7928,3.7908,10
2400,2.3438,3.2623,5.2391,7.6187,3.8225,4.1771,10
2450,2.3438,3.4770,5.8457,8.2048,4.1765,4.4863,10
2500,3.1364,3.6834,6.1913,8.8049,4.1910,4.4301,10
2550,3.2074,3.7211,6.8548,9.2298,4.7626,5.0326,10
2600,3.6893,3.6971,6.8732,9.0760,5.1273,5.3728,10
2650,3.9062,4.4595,7.4327,10.3269,5.5544,6.1394,10
2700,3.9968,4.7248,7.9961,11.0462,5.7486,6.3600,10
2750,2.3438,5.1672,7.9705,11.8064,5.8328,6.8397,10
2800,4.6877,5.4455,9.1705,12.1642,6.8021,6.9272,10
2850,4.6875,5.7490,9.6872,13.4672,7.0420,7.8058,10
2900,3.9062,6.3901,10.3954,14.3362,7.9708,8.5361,10
2950,5.4688,6.4299,10.7546,14.4645,8.2781,8.1270,10
3000,3.9062,6.9600,11.7935,15.9489,8.5367,9.1330,10
3050,6.3331,7.5086,12.2756,16.6129,8.7968,9.4985,10
3100,6.8322,7.8536,12.7452,16.8272,9.2185,9.4860,10
3150,7.0312,7.8940,13.7068,18.5238,10.2072,10.2579,10
3200,7.6023,8.6192,13.3202,19.5750,10.9369,10.6537,10
3250,8.3997,9.2018,15.7213,21.2040,10.9074,11.0389,10
3300,7.0312,10.1610,16.1175,21.6675,12.2203,12.0390,10
3350,8.5938,10.6746,17.2015,23.3097,12.8334,12.7678,10
3400,7.0312,11.2424,18.8283,25.0177,13.8162,13.8927,10
3450,10.1562,11.7375,20.1068,26.5185,15.5965,14.5193,10
3500,10.1562,13.8229,22.4517,31.7172,17.0987,16.7121,10
