mass,limit_m2,limit_m1,limit_p1,limit_p2,limit_exp,limit_obs,nominal_cross-section
700,5.7821,7.7110,15.3412,20.1408,10.7825,8.9012,1.0000
750,3.5938,5.9422,11.6208,14.7635,8.1177,6.3817,1.0000
800,3.2810,4.5239,8.9708,12.1020,6.3110,4.4294,1.0000
850,2.5830,3.7658,7.3910,9.7025,5.0675,4.4440,1.0000
900,1.7969,3.3681,6.3035,8.5893,4.5463,4.7796,1.0000
950,2.0312,2.8258,5.4052,7.3764,3.7378,5.7019,1.0000
1000,1.9320,2.5728,4.9540,6.4985,3.4201,6.9064,1.0000
1050,1.1719,2.2383,4.5098,5.9872,3.0740,6.4740,1.0000
1100,1.3068,2.1213,3.9860,5.5367,2.7837,5.2010,1.0000
1150,1.2917,1.8423,3.6405,5.0731,2.3341,4.0751,1.0000
1200,1.3281,1.7420,3.3982,4.2187,2.4476,3.2342,1.0000
1250,1.2589,1.6398,3.2030,4.4559,2.2504,2.7413,1.0000
1300,1.2363,1.5152,2.9392,3.9750,2.0716,2.1877,1.0000
1350,1.2500,1.3910,2.7691,3.8836,2.0124,1.8211,1.0000
1400,1.0156,1.4528,2.7036,3.7155,1.9312,1.5712,1.0000
1450,0.7997,1.3665,2.5174,3.5575,1.7539,1.4222,1.0000
1500,1.0156,1.3200,2.5084,3.4439,1.7474,1.4703,1.0000
1550,0.8127,1.3228,2.3343,3.3332,1.6690,1.7908,1.0000
1600,1.0156,1.2134,2.3276,3.1360,1.6693,2.1057,1.0000
1650,0.9819,1.2932,2.2196,3.0612,1.6063,2.3447,1.0000
1700,0.7841,1.2122,2.1681,3.1356,1.6536,2.5618,1.0000
1750,1.0938,1.1436,2.2077,2.9687,1.5387,2.6490,1.0000
1800,0.5469,1.2397,2.0963,3.0580,1.5355,2.4885,1.0000
1850,0.7031,1.2018,2.1265,3.0113,1.5660,2.2640,1.0000
1900,1.0816,1.2450,2.1861,2.7295,1.6306,2.1647,1.0000
1950,0.4686,1.3013,2.2233,3.0942,1.6735,2.0508,1.0000
2000,1.0156,1.3194,2.2204,3.1203,1.5718,1.8427,1.0000
2050,1.0156,1.3597,2.3579,3.2970,1.5636,1.7360,1.0000
2100,1.1937,1.3773,2.5000,3.2828,1.7025,1.7412,1.0000
2150,1.1719,1.4220,2.4152,3.2373,1.8097,1.7091,1.0000
2200,1.2664,1.5083,2.4677,3.4398,1.7757,1.7308,1.0000
2250,1.0156,1.5693,2.5642,3.4762,1.9661,1.8671,1.0000
2300,1.3281,1.5541,2.5782,3.6951,1.9391,1.9648,1.0000
2350,1.3281,1.6676,2.6775,3.7104,2.0221,2.0194,1.0000
2400,1.1719,1.6927,2.8274,3.8031,2.0531,2.1248,1.0000
2450,1.5270,1.8113,2.8799,4.0627,2.2167,2.2274,1.0000
2500,1.1719,1.8921,3.0323,4.3479,2.3252,2.2129,1.0000
2550,1.5156,1.9772,3.1971,4.4172,2.3656,2.3463,1.0000
2600,1.9357,2.1118,3.2031,4.5981,2.5067,2.5512,1.0000
2650,1.9531,2.2459,3.4982,4.9312,2.5672,2.7830,1.0000
2700,1.8750,2.3149,3.6704,5.1638,2.8537,3.0126,1.0000
2750,2.1954,2.5102,3.8805,5.1636,2.9305,3.2181,1.0000
2800,2.2656,2.6701,4.2139,5.7633,3.2014,3.3915,1.0000
2850,2.1717,2.8613,4.4811,5.9138,3.4207,3.4715,1.0000
2900,2.5781,3.1413,4.3622,6.3817,3.6539,3.6700,1.0000
2950,3.1181,3.2451,5.1367,6.8994,3.9378,3.9554,1.0000
3000,3.2792,3.7564,5.4977,7.5131,4.4038,3.6390,1.0000
3050,2.4219,3.7409,5.8785,8.1460,4.5464,4.4201,1.0000
3100,3.9223,4.1347,6.2217,8.3408,4.3740,4.1922,1.0000
3150,3.5938,4.2644,6.5505,9.0480,5.0776,4.9440,1.0000
3200,4.4676,5.0709,6.9081,10.0000,5.9456,5.3936,1.0000
3250,4.5312,5.1177,7.6417,10.4792,5.9933,5.5897,1.0000
3300,4.8438,5.5644,8.0745,11.2237,6.6633,6.0179,1.0000
3350,5.1562,5.9722,8.5207,11.9231,7.0790,6.4456,1.0000
3400,5.7812,6.1632,9.1814,12.5317,7.5577,7.0063,1.0000
3450,6.6971,7.0627,9.9931,13.9938,8.1171,7.4745,1.0000
3500,7.2446,7.9261,10.8711,14.6314,8.2699,8.4094,1.0000
