mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,14.3405,19.7426,7.3559,5.5357,10.1953,10.5488,10
750,10.6667,14.6219,5.3985,4.0829,7.5195,5.6703,10
800,7.7475,10.7993,3.7654,2.7695,5.3711,3.1493,10
850,6.1756,8.6357,2.9896,2.2287,4.2578,2.8719,10
900,5.0412,7.1030,2.4084,1.7640,3.4473,2.7982,10
950,4.2646,6.0617,2.0082,1.4729,2.9004,3.5489,10
1000,3.6479,5.2510,1.6919,1.2305,2.4609,4.5589,10
1050,3.1872,4.6251,1.4651,1.0610,2.1387,4.1809,10
1100,2.8095,4.0953,1.2658,0.9180,1.8652,3.2059,10
1150,2.5138,3.6820,1.1185,0.8041,1.6602,2.1369,10
1200,2.2743,3.3469,0.9992,0.7121,1.4941,1.7088,10
1250,2.0653,3.0506,0.8947,0.6347,1.3428,1.5110,10
1300,1.9024,2.8149,0.8168,0.5768,1.2305,1.1826,10
1350,1.7529,2.6307,0.7412,0.5243,1.1279,0.8879,10
1400,1.6440,2.4544,0.6873,0.4839,1.0498,0.6765,10
1450,1.5294,2.2978,0.6313,0.4403,0.9717,0.6572,10
1500,1.4290,2.1600,0.5846,0.4058,0.9033,0.7163,10
1550,1.3431,2.0516,0.5409,0.3762,0.8447,0.8036,10
1600,1.2703,1.9531,0.5045,0.3492,0.7910,1.0954,10
1650,1.2057,1.8470,0.4727,0.3239,0.7471,1.1787,10
1700,1.1459,1.7738,0.4431,0.3021,0.7031,1.2398,10
1750,1.0902,1.6876,0.4199,0.2848,0.6689,1.1886,10
1800,1.0396,1.6171,0.3968,0.2678,0.6348,1.0629,10
1850,0.9964,1.5574,0.3754,0.2507,0.6055,0.9149,10
1900,0.9528,1.4961,0.3573,0.2386,0.5762,0.8258,10
1950,0.9168,1.4460,0.3396,0.2285,0.5518,0.6943,10
2000,0.8844,1.4062,0.3248,0.2162,0.5322,0.5449,10
2050,0.8601,1.3679,0.3151,0.2043,0.5127,0.4449,10
2100,0.8352,1.3283,0.3031,0.1965,0.4932,0.3911,10
2150,0.8110,1.3001,0.2880,0.1926,0.4834,0.3670,10
2200,0.7893,1.2698,0.2807,0.1848,0.4639,0.3712,10
2250,0.7679,1.2399,0.2696,0.1755,0.4492,0.4204,10
2300,0.7429,1.2085,0.2627,0.1664,0.4346,0.4595,10
2350,0.7246,1.1777,0.2498,0.1608,0.4199,0.4511,10
2400,0.7057,1.1542,0.2411,0.1551,0.4053,0.4037,10
2450,0.6887,1.1264,0.2315,0.1514,0.3955,0.3720,10
2500,0.6717,1.1064,0.2275,0.1447,0.3857,0.3555,10
2550,0.6607,1.0905,0.2218,0.1410,0.3760,0.3603,10
2600,0.6494,1.0737,0.2160,0.1373,0.3662,0.4180,10
2650,0.6379,1.0591,0.2077,0.1327,0.3613,0.4873,10
2700,0.6264,1.0482,0.2049,0.1309,0.3564,0.4970,10
2750,0.6203,1.0373,0.1993,0.1273,0.3467,0.4848,10
2800,0.6116,1.0226,0.1965,0.1255,0.3418,0.4625,10
2850,0.6028,1.0146,0.1919,0.1211,0.3369,0.4242,10
2900,0.5967,1.0064,0.1891,0.1193,0.3320,0.3799,10
2950,0.5906,0.9917,0.1846,0.1150,0.3271,0.3510,10
3000,0.5853,0.9916,0.1846,0.1150,0.3271,0.3269,10
3050,0.5780,0.9621,0.1808,0.1141,0.3174,0.3111,10
3100,0.5729,0.9621,0.1808,0.1141,0.3174,0.2998,10
3150,0.5666,0.9473,0.1780,0.1123,0.3125,0.2917,10
3200,0.5676,0.9325,0.1752,0.1105,0.3076,0.2874,10
3250,0.5627,0.9325,0.1720,0.1057,0.3076,0.2832,10
3300,0.5578,0.9325,0.1688,0.1009,0.3076,0.2803,10
3350,0.5586,0.9177,0.1693,0.0993,0.3027,0.2784,10
3400,0.5590,0.9030,0.1665,0.1024,0.2979,0.2770,10
3450,0.5543,0.9030,0.1665,0.0977,0.2979,0.2762,10
3500,0.5543,0.9030,0.1634,0.0977,0.2979,0.2760,10
