mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,31.1025,42.3831,17.1694,13.5019,22.8906,18.4153,10
750,22.6625,30.4998,11.8230,9.0771,16.2500,10.7902,10
800,16.5300,22.5750,8.3849,6.3171,11.7188,6.6848,10
850,12.8555,17.6222,6.4844,4.8853,9.0625,5.6834,10
900,10.4784,14.4662,5.1914,3.8806,7.3047,6.1658,10
950,8.7819,12.2801,4.2738,3.1693,6.0547,7.6316,10
1000,7.7042,10.8385,3.6890,2.7501,5.2539,8.6298,10
1050,6.7670,9.5475,3.1830,2.3666,4.5898,8.2282,10
1100,6.0961,8.6615,2.8399,2.0828,4.1016,7.1188,10
1150,5.5892,7.9944,2.5829,1.8944,3.7305,5.8499,10
1200,5.1795,7.4501,2.3767,1.7285,3.4570,4.7066,10
1250,4.8265,6.9700,2.1884,1.5939,3.2129,3.8261,10
1300,4.5478,6.6220,2.0591,1.4782,3.0273,3.1912,10
1350,4.3655,6.3530,1.9474,1.4001,2.8906,2.6892,10
1400,4.2662,6.2116,1.8813,1.3466,2.8027,2.3698,10
1450,4.1242,6.0488,1.8025,1.2845,2.6953,2.3005,10
1500,4.0346,5.9484,1.7568,1.2463,2.6367,2.4933,10
1550,4.0209,5.9443,1.7373,1.2324,2.6074,2.9665,10
1600,4.0811,6.0489,1.7458,1.2405,2.6465,3.7532,10
1650,4.0217,5.9907,1.7115,1.2030,2.5879,3.9965,10
1700,3.9864,5.9278,1.6750,1.1794,2.5586,4.0147,10
1750,3.9712,5.9495,1.6731,1.1649,2.5488,3.9275,10
1800,3.9814,5.9543,1.6731,1.1649,2.5488,3.8156,10
1850,4.0729,6.1213,1.7051,1.1815,2.6074,3.7861,10
1900,4.2163,6.3456,1.7562,1.2169,2.6855,3.8261,10
1950,4.4003,6.6225,1.8208,1.2700,2.8027,3.8815,10
2000,4.6113,6.9950,1.9033,1.3275,2.9297,3.9322,10
2050,4.6538,7.0469,1.9160,1.3364,2.9492,3.7903,10
2100,4.7083,7.1716,1.9212,1.3336,2.9688,3.6822,10
2150,4.7822,7.2711,1.9465,1.3512,3.0078,3.6518,10
2200,4.8998,7.4924,1.9768,1.3655,3.0664,3.7121,10
2250,5.1027,7.8026,2.0586,1.4220,3.1934,3.9507,10
2300,5.3836,8.3081,2.1719,1.5003,3.3691,4.2813,10
2350,5.7711,8.8733,2.3011,1.6003,3.5938,4.6572,10
2400,6.2730,9.6364,2.5038,1.7329,3.9258,5.1234,10
2450,6.6508,10.1885,2.6284,1.8191,4.1211,5.4400,10
2500,7.0257,10.8023,2.7792,1.9141,4.3750,5.8493,10
2550,7.4704,11.5472,2.9609,2.0251,4.6289,6.3929,10
2600,7.9747,12.3267,3.1484,2.1426,4.9414,7.0606,10
2650,8.5105,13.1550,3.3599,2.2865,5.2734,7.6810,10
2700,9.0779,14.1574,3.5839,2.4390,5.6250,8.2902,10
2750,9.6768,15.0914,3.8204,2.5999,5.9961,8.8911,10
2800,10.3581,16.0933,4.0533,2.7443,6.3867,9.4373,10
2850,10.9691,17.1069,4.3136,2.9205,6.7969,9.8923,10
2900,11.7141,18.1321,4.5795,3.1165,7.1875,10.2330,10
2950,12.4145,19.3841,4.8342,3.2730,7.6172,10.3963,10
3000,13.1784,20.3986,5.0957,3.4744,8.0859,10.7113,10
3050,13.8151,21.5710,5.3418,3.6423,8.4766,11.0359,10
3100,14.5224,22.7843,5.5880,3.8101,8.8672,11.3675,10
3150,15.2901,23.9887,5.8361,3.9386,9.3359,11.7224,10
3200,16.1360,25.3263,6.1291,4.1364,9.8047,12.1429,10
3250,17.0360,26.8518,6.4710,4.3671,10.3516,12.6369,10
3300,18.1521,28.6200,6.8339,4.5879,10.9766,13.2140,10
3350,19.4728,30.7106,7.2663,4.8523,11.7188,13.9469,10
3400,20.9658,33.2010,7.8234,5.2243,12.6172,14.8229,10
3450,22.9131,36.4333,8.5151,5.6557,13.7891,16.0203,10
3500,25.4445,40.4585,9.4170,6.2207,15.3125,17.5631,10
