mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,22.7266,31.1820,12.1681,9.4012,16.4844,14.5710,10
750,16.4198,22.3503,8.3571,6.3205,11.6406,8.1389,10
800,12.0797,16.6128,6.0725,4.5572,8.5156,4.7990,10
850,9.3577,12.9190,4.6362,3.4656,6.5234,4.1979,10
900,7.8039,10.8778,3.8189,2.8319,5.4102,4.4591,10
950,6.6368,9.3092,3.1953,2.3820,4.5508,5.7889,10
1000,5.8455,8.2474,2.7645,2.0444,3.9648,6.9179,10
1050,5.1533,7.3334,2.4071,1.7654,3.4766,6.5351,10
1100,4.5966,6.5851,2.1224,1.5501,3.0762,5.4165,10
1150,4.1664,6.0000,1.8959,1.3867,2.7734,4.1947,10
1200,3.8097,5.5230,1.7165,1.2449,2.5293,3.2843,10
1250,3.5008,5.1309,1.5658,1.1258,2.3242,2.6636,10
1300,3.2914,4.8259,1.4552,1.0416,2.1680,2.1978,10
1350,3.1230,4.5804,1.3650,0.9727,2.0410,1.7620,10
1400,3.0041,4.4258,1.3062,0.9308,1.9531,1.4836,10
1450,2.8612,4.2335,1.2285,0.8675,1.8506,1.4239,10
1500,2.7399,4.0677,1.1616,0.8216,1.7676,1.5350,10
1550,2.6466,3.9581,1.1164,0.7810,1.6943,1.8619,10
1600,2.5845,3.8776,1.0763,0.7543,1.6504,2.4052,10
1650,2.5221,3.7958,1.0436,0.7279,1.6064,2.5387,10
1700,2.4887,3.7685,1.0167,0.7023,1.5771,2.5500,10
1750,2.4703,3.7273,1.0041,0.6936,1.5576,2.4810,10
1800,2.4610,3.7418,0.9978,0.6893,1.5479,2.3669,10
1850,2.4889,3.7707,1.0002,0.6875,1.5576,2.2964,10
1900,2.5123,3.8416,1.0057,0.6879,1.5723,2.2544,10
1950,2.5435,3.9073,1.0182,0.6964,1.5918,2.1998,10
2000,2.5876,3.9785,1.0307,0.7050,1.6113,2.0959,10
2050,2.6320,4.0683,1.0391,0.7071,1.6309,1.9253,10
2100,2.6714,4.1292,1.0505,0.7113,1.6553,1.7870,10
2150,2.7400,4.2571,1.0647,0.7259,1.6895,1.7347,10
2200,2.8251,4.4111,1.0958,0.7380,1.7334,1.8103,10
2250,2.9029,4.5349,1.1125,0.7547,1.7725,1.9568,10
2300,3.0054,4.6972,1.1416,0.7704,1.8262,2.0956,10
2350,3.1018,4.8890,1.1782,0.7951,1.8848,2.2083,10
2400,3.2299,5.0714,1.2160,0.8163,1.9531,2.2811,10
2450,3.3753,5.3232,1.2595,0.8411,2.0312,2.2871,10
2500,3.5051,5.5734,1.3079,0.8734,2.1094,2.3644,10
2550,3.6674,5.8314,1.3527,0.9052,2.2070,2.5741,10
2600,3.8459,6.1152,1.4126,0.9402,2.3145,2.9314,10
2650,4.0600,6.4826,1.4842,0.9879,2.4316,3.2586,10
2700,4.2924,6.8266,1.5551,1.0294,2.5586,3.5236,10
2750,4.5432,7.2543,1.6382,1.0844,2.6953,3.7392,10
2800,4.8231,7.7314,1.7317,1.1401,2.8613,3.9116,10
2850,5.1436,8.2444,1.8447,1.1982,3.0371,4.0631,10
2900,5.4909,8.8694,1.9611,1.2665,3.2422,4.1962,10
2950,5.8878,9.5105,2.0863,1.3580,3.4766,4.2713,10
3000,6.3642,10.2777,2.2445,1.4610,3.7402,4.3713,10
3050,6.7780,10.9431,2.3691,1.5333,3.9648,4.4264,10
3100,7.2120,11.7316,2.5100,1.6150,4.2188,4.5675,10
3150,7.7129,12.5463,2.6843,1.7271,4.5117,4.7681,10
3200,8.2903,13.4747,2.8463,1.8205,4.8047,5.0127,10
3250,8.8969,14.5137,3.0414,1.9336,5.1562,5.3071,10
3300,9.5372,15.6150,3.2603,2.0728,5.5273,5.6301,10
3350,10.2923,16.9028,3.4732,2.2266,5.9375,5.9905,10
3400,11.0878,18.1982,3.7393,2.3628,6.3672,6.4033,10
3450,11.9041,19.6073,3.9971,2.5101,6.8359,6.8383,10
3500,12.8470,21.1457,4.2577,2.6965,7.3438,7.3176,10
