mass,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
700,7.5177,10.4089,3.7708,2.8409,5.2700,4.9906
750,4.8811,6.7814,2.4058,1.8077,3.4027,4.4948
800,3.4934,4.9288,1.6232,1.1755,2.3695,3.9538
850,2.6996,3.8213,1.2978,0.9597,1.8613,3.3383
900,2.1905,3.1633,1.0139,0.7291,1.4581,1.1423
950,1.8777,2.6665,0.8558,0.6347,1.2499,1.2503
1000,1.5817,2.2917,0.7038,0.5075,1.0310,1.2077
1050,1.3612,1.9745,0.6120,0.4413,0.8966,0.8801
1100,1.1582,1.7073,0.5133,0.3636,0.7629,0.6839
1150,1.0152,1.4942,0.4431,0.3205,0.6617,0.5042
1200,0.8954,1.3223,0.3841,0.2704,0.5867,0.3841
1250,0.7976,1.1871,0.3369,0.2372,0.5145,0.5164
1300,0.7153,1.0679,0.2967,0.2070,0.4568,0.5467
1350,0.6431,0.9696,0.2647,0.1829,0.4107,0.4682
1400,0.5861,0.8889,0.2353,0.1625,0.3650,0.3894
1450,0.5366,0.8146,0.2127,0.1455,0.3325,0.5405
1500,0.4939,0.7577,0.1923,0.1302,0.3030,0.6146
1550,0.4558,0.7055,0.1775,0.1202,0.2797,0.5151
1600,0.4249,0.6584,0.1613,0.1069,0.2582,0.3608
1650,0.3950,0.6197,0.1494,0.0980,0.2412,0.2856
1700,0.3692,0.5825,0.1364,0.0894,0.2201,0.2449
1750,0.3450,0.5487,0.1264,0.0819,0.2056,0.1944
1800,0.3224,0.5168,0.1153,0.0751,0.1922,0.1664
1850,0.3041,0.4913,0.1068,0.0687,0.1796,0.1769
1900,0.2869,0.4667,0.0982,0.0642,0.1678,0.1782
1950,0.2719,0.4449,0.0918,0.0600,0.1568,0.1612
2000,0.2592,0.4256,0.0859,0.0549,0.1495,0.1405
2050,0.2477,0.4109,0.0818,0.0522,0.1423,0.1238
2100,0.2396,0.3988,0.0777,0.0496,0.1351,0.1152
2150,0.2312,0.3875,0.0742,0.0458,0.1304,0.1102
2200,0.2247,0.3772,0.0709,0.0438,0.1245,0.1064
2250,0.2175,0.3653,0.0680,0.0414,0.1205,0.1035
2300,0.2103,0.3500,0.0646,0.0397,0.1155,0.1010
2350,0.2049,0.3396,0.0621,0.0376,0.1120,0.0993
2400,0.2000,0.3286,0.0597,0.0360,0.1084,0.0975
2450,0.1962,0.3210,0.0581,0.0347,0.1059,0.0960
2500,0.1926,0.3124,0.0565,0.0338,0.1031,0.0951
2550,0.1907,0.3080,0.0552,0.0325,0.1016,0.0945
2600,0.1887,0.3036,0.0539,0.0321,0.1001,0.0939
2650,0.1866,0.3002,0.0530,0.0313,0.0990,0.0937
2700,0.1857,0.2963,0.0526,0.0305,0.0977,0.0932
2750,0.1836,0.2929,0.0515,0.0302,0.0966,0.0925
2800,0.1824,0.2909,0.0509,0.0296,0.0960,0.0920
2850,0.1807,0.2870,0.0504,0.0288,0.0946,0.0916
2900,0.1794,0.2849,0.0496,0.0286,0.0940,0.0911
2950,0.1779,0.2826,0.0492,0.0284,0.0932,0.0904
3000,0.1770,0.2800,0.0485,0.0278,0.0923,0.0899
3050,0.1758,0.2769,0.0479,0.0275,0.0913,0.0896
3100,0.1744,0.2747,0.0475,0.0273,0.0906,0.0891
3150,0.1733,0.2730,0.0472,0.0271,0.0900,0.0885
3200,0.1723,0.2714,0.0467,0.0266,0.0895,0.0881
3250,0.1718,0.2706,0.0466,0.0265,0.0892,0.0877
3300,0.1710,0.2682,0.0462,0.0263,0.0885,0.0875
3350,0.1702,0.2682,0.0462,0.0263,0.0884,0.0872
3400,0.1706,0.2677,0.0461,0.0262,0.0883,0.0871
3450,0.1703,0.2671,0.0460,0.0262,0.0881,0.0875
3500,0.1719,0.2696,0.0464,0.0264,0.0889,0.0880
