mass,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
700,16.4805,21.9506,8.9677,6.8972,12.0938,12.4671
750,11.1134,16.2004,5.6088,4.2419,7.8125,6.1304
800,8.6149,12.1198,4.0478,2.9146,5.8750,3.5731
850,6.9194,9.7636,3.3308,2.4700,4.7188,3.2277
900,5.6035,7.9823,2.5781,1.8750,3.7500,2.9339
950,4.6303,6.6098,2.1822,1.6071,3.1406,4.4939
1000,3.9353,5.6466,1.8025,1.2997,2.6406,4.9650
1050,3.4346,4.9283,1.5755,1.1523,2.3047,4.4443
1100,2.9850,4.3441,1.3396,0.9574,1.9766,3.6173
1150,2.6783,3.8977,1.1948,0.8590,1.7734,2.6344
1200,2.4148,3.5416,1.0554,0.7521,1.5781,1.8581
1250,2.1996,3.2430,0.9613,0.6851,1.4375,1.6160
1300,2.0180,2.9910,0.8687,0.6134,1.3086,1.3432
1350,1.8576,2.7670,0.7905,0.5556,1.1953,1.0185
1400,1.7163,2.5713,0.7212,0.5078,1.1016,0.7318
1450,1.5945,2.3998,0.6624,0.4642,1.0156,0.7155
1500,1.4855,2.2494,0.6116,0.4266,0.9414,0.7880
1550,1.3939,2.1232,0.5666,0.3914,0.8789,0.9253
1600,1.3108,2.0043,0.5268,0.3621,0.8203,1.3575
1650,1.2389,1.9049,0.4935,0.3375,0.7715,1.4026
1700,1.1726,1.8125,0.4629,0.3150,0.7266,1.3414
1750,1.1150,1.7324,0.4333,0.2954,0.6875,1.2415
1800,1.0632,1.6601,0.4094,0.2778,0.6523,1.1215
1850,1.0189,1.5925,0.3870,0.2612,0.6191,0.9977
1900,0.9707,1.5365,0.3687,0.2488,0.5898,0.8907
1950,0.9379,1.4792,0.3500,0.2337,0.5645,0.7427
2000,0.9033,1.4307,0.3355,0.2240,0.5410,0.5806
2050,0.8749,1.3914,0.3196,0.2139,0.5215,0.4709
2100,0.8454,1.3552,0.3076,0.2047,0.5039,0.4079
2150,0.8236,1.3253,0.2979,0.1957,0.4863,0.3776
2200,0.8005,1.2930,0.2861,0.1883,0.4727,0.3729
2250,0.7813,1.2709,0.2766,0.1821,0.4570,0.4269
2300,0.7615,1.2428,0.2672,0.1749,0.4434,0.4663
2350,0.7448,1.2150,0.2590,0.1686,0.4316,0.4652
2400,0.7279,1.1918,0.2521,0.1631,0.4219,0.4221
2450,0.7144,1.1732,0.2453,0.1594,0.4121,0.3794
2500,0.7006,1.1540,0.2394,0.1540,0.4023,0.3580
2550,0.6870,1.1396,0.2328,0.1510,0.3945,0.3573
2600,0.6796,1.1255,0.2291,0.1465,0.3867,0.3979
2650,0.6693,1.1085,0.2228,0.1428,0.3809,0.4985
2700,0.6590,1.0990,0.2194,0.1406,0.3750,0.5043
2750,0.6487,1.0818,0.2150,0.1370,0.3691,0.4912
2800,0.6413,1.0721,0.2106,0.1334,0.3633,0.4689
2850,0.6338,1.0621,0.2072,0.1312,0.3574,0.4300
2900,0.6269,1.0540,0.2040,0.1284,0.3535,0.3819
2950,0.6210,1.0464,0.2012,0.1267,0.3486,0.3429
3000,0.6158,1.0410,0.1986,0.1242,0.3457,0.3224
3050,0.6116,1.0293,0.1964,0.1228,0.3418,0.3106
3100,0.6063,1.0271,0.1938,0.1205,0.3389,0.3030
3150,0.6037,1.0183,0.1922,0.1194,0.3359,0.2974
3200,0.6029,1.0124,0.1902,0.1174,0.3340,0.2940
3250,0.5994,1.0065,0.1891,0.1167,0.3320,0.2911
3300,0.5959,1.0005,0.1863,0.1160,0.3301,0.2888
3350,0.5906,0.9917,0.1846,0.1150,0.3271,0.2863
3400,0.5904,0.9828,0.1838,0.1127,0.3242,0.2843
3450,0.5869,0.9769,0.1810,0.1120,0.3223,0.2825
3500,0.5816,0.9680,0.1802,0.1098,0.3193,0.2808
