mass,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
700,31.4595,42.1614,16.4257,12.1414,22.6875,19.4239
750,24.2315,32.8348,12.5996,9.6377,17.3750,11.7338
800,18.0600,25.1281,8.9879,6.8057,12.6250,6.8350
850,14.4016,20.2007,6.8481,5.0918,9.8750,5.9127
900,11.6353,16.2459,5.5630,4.1250,8.0000,6.3085
950,9.4450,13.3259,4.4911,3.3032,6.4062,8.3164
1000,8.1338,11.5112,3.8676,2.8601,5.5469,9.0068
1050,7.2860,10.3114,3.4524,2.5426,4.9688,8.6196
1100,6.4098,9.1109,3.0184,2.2137,4.3594,7.5128
1150,5.7440,8.1739,2.6735,1.9526,3.8750,6.1866
1200,5.3502,7.6575,2.4673,1.8047,3.6094,5.0607
1250,5.1927,7.4509,2.3733,1.7286,3.4844,4.2592
1300,4.9264,7.0974,2.2374,1.6227,3.2969,3.5763
1350,4.5422,6.5850,2.0512,1.4725,3.0156,2.9628
1400,4.2587,6.1875,1.8948,1.3623,2.8125,2.4942
1450,4.0694,5.9446,1.8039,1.2913,2.6875,2.4387
1500,3.9600,5.7966,1.7398,1.2398,2.6016,2.6677
1550,3.8851,5.6981,1.6980,1.2100,2.5391,3.2283
1600,3.8333,5.6473,1.6605,1.1779,2.4922,3.7916
1650,3.7852,5.6054,1.6336,1.1536,2.4609,3.9348
1700,3.7880,5.6142,1.6079,1.1426,2.4375,3.9340
1750,3.8002,5.6464,1.6009,1.1271,2.4453,3.8565
1800,3.8366,5.7005,1.6038,1.1187,2.4688,3.7603
1850,3.8851,5.7872,1.6286,1.1230,2.5000,3.6803
1900,3.9560,5.8973,1.6588,1.1307,2.5391,3.6505
1950,4.0412,6.0543,1.6945,1.1550,2.5938,3.6487
2000,4.1386,6.2002,1.7354,1.1829,2.6562,3.6296
2050,4.2346,6.3330,1.7711,1.2072,2.7109,3.5925
2100,4.3200,6.4927,1.7949,1.2316,2.7656,3.5727
2150,4.4289,6.6773,1.8354,1.2594,2.8281,3.5607
2200,4.5751,6.8856,1.8912,1.2977,2.9141,3.6676
2250,4.7591,7.1625,1.9672,1.3499,3.0312,4.0085
2300,5.0044,7.5317,2.0686,1.4194,3.1875,4.2277
2350,5.2876,8.0210,2.1802,1.4960,3.3594,4.3796
2400,5.5969,8.4750,2.3019,1.5795,3.5469,4.5619
2450,5.8928,8.9230,2.4236,1.6630,3.7344,4.7630
2500,6.1886,9.3710,2.5452,1.7465,3.9219,5.0134
2550,6.4762,9.8356,2.6669,1.8390,4.0938,5.3448
2600,6.7975,10.3726,2.7807,1.9302,4.2969,5.8991
2650,7.1435,10.9007,2.9223,2.0285,4.5156,6.4796
2700,7.5333,11.4746,3.0944,2.1338,4.7500,6.7371
2750,7.9793,12.1540,3.2560,2.2601,5.0312,6.9845
2800,8.4749,12.9089,3.4582,2.4005,5.3438,7.2435
2850,9.0631,13.8586,3.6706,2.5479,5.6719,7.5335
2900,9.6390,14.7930,3.9234,2.7234,6.0625,7.8620
2950,10.3365,15.8056,4.1863,2.9059,6.4688,8.2316
3000,11.0855,16.9510,4.4896,3.1165,6.9375,8.6371
3050,11.9344,18.2490,4.8148,3.3259,7.4688,9.1230
3100,12.7833,19.6373,5.1572,3.5625,8.0000,9.6221
3150,13.7320,21.1916,5.5400,3.8269,8.5938,10.1773
3200,14.6808,22.6557,5.9228,4.0913,9.1875,10.7612
3250,15.6795,24.1969,6.2831,4.3696,9.8125,11.3443
3300,16.7112,25.8108,6.6824,4.5934,10.4062,11.9024
3350,17.7019,27.3624,7.0161,4.7988,10.9688,12.3960
3400,18.4584,28.5317,7.3160,5.0039,11.4375,12.8244
3450,19.0636,29.7306,7.5263,5.1218,11.8125,13.0676
3500,19.5575,30.2728,7.6157,5.1562,12.0000,13.1235
