mass,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
700,22.2957,29.7509,11.7084,8.6545,16.1719,14.8609
750,16.4366,22.2111,8.4414,6.4087,11.7188,7.9853
800,12.0474,16.6322,5.9687,4.4617,8.3984,4.5851
850,9.4901,13.1485,4.6185,3.4248,6.5430,3.9644
900,7.7689,10.8808,3.7371,2.7600,5.3125,4.1093
950,6.5586,9.2269,3.1356,2.3062,4.4727,5.4052
1000,5.6850,8.0218,2.6938,1.9839,3.8770,6.5460
1050,5.0104,7.1108,2.3530,1.7258,3.3984,6.2410
1100,4.4875,6.3858,2.0813,1.5137,3.0273,5.1538
1150,4.0604,5.8262,1.8665,1.3517,2.7246,4.0128
1200,3.7310,5.3666,1.6900,1.2257,2.4902,3.2044
1250,3.4511,4.9950,1.5452,1.1158,2.2852,2.6341
1300,3.2469,4.7352,1.4408,1.0359,2.1387,2.1980
1350,3.0851,4.5204,1.3569,0.9713,2.0215,1.8077
1400,2.9661,4.3732,1.2964,0.9238,1.9385,1.5250
1450,2.8614,4.2265,1.2349,0.8720,1.8604,1.5030
1500,2.7479,4.0867,1.1725,0.8331,1.7773,1.6544
1550,2.6483,3.9448,1.1228,0.7855,1.7041,2.0490
1600,2.5562,3.8296,1.0741,0.7562,1.6406,2.5563
1650,2.5055,3.7642,1.0381,0.7275,1.5918,2.6579
1700,2.4780,3.7390,1.0118,0.7080,1.5625,2.6499
1750,2.4610,3.7242,0.9911,0.6893,1.5479,2.5521
1800,2.4655,3.7353,0.9841,0.6811,1.5430,2.4269
1850,2.4811,3.7589,0.9824,0.6733,1.5527,2.3440
1900,2.4967,3.8178,0.9916,0.6714,1.5625,2.2995
1950,2.5279,3.8655,1.0001,0.6736,1.5820,2.2210
2000,2.5847,3.9595,1.0084,0.6757,1.6016,2.1111
2050,2.6320,4.0319,1.0228,0.6816,1.6309,1.9232
2100,2.6871,4.1536,1.0400,0.6894,1.6650,1.7935
2150,2.7875,4.3309,1.0693,0.7050,1.7188,1.7634
2200,2.8967,4.4838,1.1013,0.7220,1.7773,1.8339
2250,2.9748,4.6274,1.1255,0.7379,1.8164,2.0043
2300,3.0375,4.7475,1.1390,0.7426,1.8457,2.1141
2350,3.1018,4.8480,1.1584,0.7510,1.8848,2.1584
2400,3.2143,5.0664,1.2004,0.7782,1.9531,2.1921
2450,3.3911,5.3450,1.2665,0.8210,2.0605,2.2398
2500,3.6161,5.6997,1.3505,0.8755,2.1973,2.3584
2550,3.8920,6.1110,1.4465,0.9377,2.3535,2.6048
2600,4.2029,6.6011,1.5546,1.0078,2.5293,3.0457
2650,4.2678,6.7584,1.5665,1.0233,2.5684,3.3055
2700,4.4234,6.9789,1.6140,1.0403,2.6367,3.4405
2750,4.6200,7.3477,1.6723,1.0757,2.7539,3.5128
2800,4.8658,7.8003,1.7543,1.1330,2.9004,3.6317
2850,5.1934,8.3256,1.8725,1.2093,3.0957,3.7846
2900,5.5967,8.9365,2.0083,1.2970,3.3203,3.9254
2950,6.0290,9.6650,2.1737,1.4038,3.5938,4.0426
3000,6.5515,10.4609,2.3509,1.5182,3.8867,4.1192
3050,6.8148,10.8815,2.4352,1.5635,4.0430,4.0811
3100,7.1117,11.4432,2.5187,1.6075,4.1992,4.1262
3150,7.5125,12.0376,2.6358,1.6823,4.3945,4.2273
3200,7.9466,12.7815,2.7645,1.7432,4.6484,4.3911
3250,8.4474,13.6384,2.9388,1.8530,4.9414,4.6173
3300,9.0818,14.6626,3.1595,1.9922,5.3125,4.9266
3350,9.8497,16.0223,3.4266,2.1606,5.7617,5.3363
3400,10.8180,17.5316,3.7326,2.3730,6.3281,5.8482
3450,12.0090,19.4550,4.1584,2.6221,6.9922,6.4753
3500,13.4850,21.8461,4.6695,2.9443,7.8516,7.2743
