mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,11.6710,15.7713,6.0234,4.5506,8.3210,9.9315,37.8700
750,7.9596,10.8704,4.0512,3.0639,5.6429,5.7810,33.9900
800,5.8469,8.0487,2.8319,2.0742,4.0534,5.2036,30.5200
850,4.6800,6.4313,2.3003,1.7284,3.2534,5.5151,27.4200
900,3.9111,5.4178,1.8401,1.3345,2.7114,3.7520,24.6800
950,3.3210,4.5849,1.6133,1.1485,2.3151,1.7498,22.2600
1000,2.8469,3.9437,1.3582,0.9637,1.9737,1.4784,20.1100
1050,2.4592,3.4177,1.1465,0.8279,1.6955,1.1164,18.1800
1100,2.1434,3.0064,0.9938,0.7269,1.4538,1.0470,16.4500
1150,1.8911,2.6869,0.8809,0.6461,1.2723,0.9579,14.8900
1200,1.6915,2.4152,0.7886,0.5768,1.1536,0.7640,13.5000
1250,1.5433,2.1966,0.7222,0.5275,1.0468,0.9766,12.2500
1300,1.4030,2.0080,0.6507,0.4732,0.9465,1.1633,11.1400
1350,1.2821,1.8441,0.5850,0.4279,0.8557,1.0750,10.1300
1400,1.1741,1.7068,0.5321,0.3837,0.7795,1.1310,9.2280
1450,1.0815,1.5842,0.4830,0.3488,0.7143,1.3014,8.4070
1500,1.0017,1.4768,0.4410,0.3171,0.6546,1.2645,7.6610
1550,0.9338,1.3864,0.4060,0.2893,0.6071,0.9847,6.9850
1600,0.8727,1.3120,0.3714,0.2639,0.5630,0.5600,6.3700
1650,0.8152,1.2329,0.3412,0.2414,0.5192,0.4254,5.8110
1700,0.7637,1.1632,0.3140,0.2201,0.4815,0.3960,5.3020
1750,0.7176,1.1075,0.2887,0.2018,0.4491,0.3513,4.8410
1800,0.6758,1.0501,0.2676,0.1839,0.4167,0.3358,4.4220
1850,0.6369,1.0031,0.2473,0.1694,0.3908,0.3852,4.0420
1900,0.6088,0.9601,0.2299,0.1560,0.3664,0.3905,3.6960
1950,0.5788,0.9242,0.2150,0.1435,0.3467,0.3643,3.3810
2000,0.5550,0.8931,0.2009,0.1338,0.3292,0.3162,3.0930
2050,0.5359,0.8717,0.1897,0.1249,0.3135,0.2783,2.8280
2100,0.5164,0.8485,0.1796,0.1169,0.2993,0.2546,2.5860
2150,0.5026,0.8302,0.1709,0.1100,0.2873,0.2403,2.3630
2200,0.4893,0.8160,0.1629,0.1044,0.2784,0.2319,2.1600
2250,0.4790,0.8045,0.1559,0.0987,0.2689,0.2266,1.9740
2300,0.4684,0.7934,0.1504,0.0941,0.2618,0.2230,1.8050
2350,0.4619,0.7722,0.1451,0.0896,0.2547,0.2212,1.6510
2400,0.4558,0.7554,0.1400,0.0866,0.2492,0.2200,1.5100
2450,0.4509,0.7441,0.1366,0.0834,0.2455,0.2195,1.3810
2500,0.4487,0.7372,0.1347,0.0817,0.2432,0.2196,1.2640
2550,0.4475,0.7290,0.1319,0.0789,0.2405,0.2211,1.1560
2600,0.4476,0.7260,0.1301,0.0786,0.2395,0.2222,1.0570
2650,0.4478,0.7234,0.1296,0.0764,0.2386,0.2231,0.9657
2700,0.4479,0.7204,0.1278,0.0761,0.2376,0.2243,0.8816
2750,0.4471,0.7191,0.1276,0.0741,0.2372,0.2256,0.8042
2800,0.4492,0.7165,0.1259,0.0738,0.2363,0.2261,0.7333
2850,0.4485,0.7125,0.1258,0.0725,0.2350,0.2267,0.6684
2900,0.4473,0.7105,0.1249,0.0714,0.2343,0.2267,0.6090
2950,0.4466,0.7065,0.1229,0.0710,0.2330,0.2270,0.5549
3000,0.4448,0.7036,0.1224,0.0707,0.2321,0.2264,0.5056
3050,0.4415,0.6984,0.1209,0.0693,0.2303,0.2251,0.4607
3100,0.4387,0.6911,0.1196,0.0686,0.2279,0.2242,0.4198
3150,0.4343,0.6841,0.1184,0.0679,0.2256,0.2228,0.3825
3200,0.4305,0.6811,0.1173,0.0667,0.2246,0.2213,0.3485
3250,0.4294,0.6765,0.1165,0.0662,0.2231,0.2199,0.3173
3300,0.4291,0.6732,0.1159,0.0659,0.2220,0.2201,0.2885
3350,0.4307,0.6757,0.1164,0.0662,0.2229,0.2209,0.2617
3400,0.4358,0.6838,0.1177,0.0669,0.2255,0.2236,0.2366
3450,0.4480,0.7029,0.1210,0.0688,0.2318,0.2302,0.2127
3500,0.4712,0.7392,0.1273,0.0724,0.2438,0.2423,0.1897
