mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs
700,36.0898,48.0052,19.5549,15.1630,26.4062,29.1326
750,28.5461,38.4181,14.8656,11.2738,20.4688,13.8492
800,24.0050,32.4325,11.9744,8.8330,16.8750,10.0637
850,19.1738,26.3209,9.6183,7.0950,13.5547,11.4109
900,16.3368,23.8145,8.1380,5.9216,11.4844,15.4368
950,13.7975,20.3928,6.8325,4.9773,9.7266,16.2092
1000,12.0016,17.4044,5.8111,4.3552,8.3203,14.1776
1050,10.5637,14.7008,5.2014,3.8727,7.3438,10.9405
1100,9.5506,13.2712,4.6736,3.4657,6.6211,8.7505
1150,8.8425,12.3073,4.3005,3.1760,6.1133,7.1046
1200,8.2436,11.5628,3.9845,2.9306,5.6836,5.2347
1250,7.7762,10.9074,3.7178,2.7493,5.3320,3.9037
1300,7.3774,10.4106,3.5148,2.5886,5.0586,3.4330
1350,7.0933,10.0529,3.3402,2.4498,4.8242,3.3898
1400,6.9008,9.8354,3.2320,2.3705,4.6680,3.4542
1450,6.6120,9.4785,3.0750,2.2363,4.4727,3.9588
1500,6.3745,9.1984,2.9407,2.1387,4.2773,4.6038
1550,6.1998,8.9716,2.8315,2.0476,4.1602,5.1409
1600,6.1029,8.8619,2.7570,1.9995,4.0625,5.1742
1650,6.0036,8.7700,2.6809,1.9360,3.9648,4.7476
1700,5.9444,8.7304,2.6448,1.9016,3.9258,4.1526
1750,5.9460,8.7731,2.6062,1.8768,3.9062,3.6007
1800,5.9782,8.8758,2.5993,1.8523,3.8867,3.2306
1850,6.0238,8.9740,2.5866,1.8463,3.9062,3.0990
1900,6.1009,9.1561,2.6060,1.8402,3.9258,3.1723
1950,6.1932,9.3539,2.6221,1.8430,3.9648,3.2789
2000,6.3475,9.5531,2.6468,1.8636,4.0430,3.3501
2050,6.4866,9.8397,2.6876,1.8835,4.1211,3.3589
2100,6.7048,10.2312,2.7534,1.9205,4.2383,3.3946
2150,6.9870,10.7230,2.8439,1.9741,4.3945,3.5777
2200,7.3654,11.3664,2.9714,2.0526,4.6094,4.0856
2250,7.6844,11.8687,3.0519,2.1122,4.7852,4.6745
2300,8.0377,12.4242,3.1639,2.1790,4.9805,5.1606
2350,8.4259,13.0912,3.2872,2.2527,5.1953,5.5674
2400,8.8493,13.8174,3.4217,2.3331,5.4297,5.9669
2450,9.2764,14.5538,3.5694,2.4338,5.6641,6.2839
2500,9.7394,15.2221,3.7144,2.5198,5.9180,6.7452
2550,10.1894,16.0604,3.8704,2.6120,6.1914,7.4596
2600,10.7879,17.0090,4.0779,2.7521,6.5234,8.2573
2650,11.4241,18.0169,4.2490,2.8735,6.8750,8.9265
2700,12.0732,19.1971,4.5051,3.0084,7.2656,9.5590
2750,12.9790,20.7233,4.7844,3.2187,7.7734,10.2403
2800,14.0239,22.3036,5.1236,3.4286,8.3594,10.9496
2850,15.1380,24.2676,5.5493,3.6658,9.0234,11.7281
2900,16.5926,26.5982,6.0081,3.9990,9.8438,12.6237
2950,18.3046,29.4574,6.6002,4.3692,10.8594,13.5997
3000,20.3758,32.6595,7.3125,4.8407,12.0312,14.5254
3050,22.2281,35.7667,7.9436,5.2295,13.1250,15.2103
3100,24.3268,39.1365,8.6528,5.6964,14.2969,16.0536
3150,26.5944,42.9576,9.4637,6.1954,15.7031,17.1594
3200,29.2453,47.4090,10.3582,6.7810,17.1875,18.4825
3250,32.1870,51.9661,11.3470,7.4283,18.8281,19.9665
3300,35.1252,56.9236,12.3301,8.0261,20.5469,21.5248
3350,38.1970,62.1341,13.4084,8.7280,22.3438,23.1111
3400,41.3270,66.9511,14.4398,9.3994,24.0625,24.6505
3450,43.8063,71.2587,15.2555,10.0098,25.6250,26.0306
3500,45.8891,74.6181,15.9654,10.3326,26.7188,26.9562
