mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs
700,16.7910,23.5504,8.2303,6.1841,11.6406,12.9173
750,13.1806,18.6282,6.3411,4.7083,9.0625,10.6034
800,9.9614,14.2798,4.6655,3.4218,6.7383,4.9962
850,7.9540,11.4312,3.6661,2.6549,5.3516,3.6438
900,6.6655,9.6184,3.0531,2.2014,4.4727,2.3833
950,5.5894,8.1387,2.5398,1.8313,3.7207,3.2577
1000,4.8206,7.0799,2.1654,1.5545,3.1836,4.3200
1050,4.2068,6.2234,1.8551,1.3279,2.7637,4.3111
1100,3.7305,5.5480,1.6202,1.1493,2.4316,3.5454
1150,3.3388,5.0108,1.4262,1.0071,2.1484,2.2138
1200,3.0203,4.5618,1.2707,0.8988,1.9336,2.0601
1250,2.7514,4.1737,1.1444,0.8057,1.7480,2.2086
1300,2.5309,3.8841,1.0381,0.7275,1.5918,1.8327
1350,2.3407,3.6122,0.9480,0.6580,1.4648,1.2448
1400,2.1828,3.3740,0.8661,0.6023,1.3525,0.9450
1450,2.0352,3.1760,0.8027,0.5490,1.2549,0.8163
1500,1.9099,3.0080,0.7415,0.5081,1.1719,0.7545
1550,1.8081,2.8498,0.6923,0.4721,1.0986,0.7343
1600,1.7118,2.7103,0.6523,0.4448,1.0352,0.9028
1650,1.6227,2.5803,0.6105,0.4120,0.9766,1.2033
1700,1.5482,2.4819,0.5727,0.3893,0.9229,1.6036
1750,1.4745,2.3731,0.5409,0.3639,0.8789,1.6333
1800,1.4141,2.2841,0.5139,0.3457,0.8350,1.5520
1850,1.3479,2.1940,0.4858,0.3233,0.7959,1.4031
1900,1.2938,2.1046,0.4619,0.3075,0.7568,1.1759
1950,1.2437,2.0383,0.4403,0.2899,0.7275,0.8923
2000,1.2048,1.9726,0.4226,0.2782,0.6982,0.7142
2050,1.1711,1.9174,0.4073,0.2651,0.6787,0.6216
2100,1.1374,1.8758,0.3924,0.2575,0.6592,0.5642
2150,1.1139,1.8412,0.3806,0.2449,0.6396,0.5306
2200,1.0848,1.8043,0.3660,0.2374,0.6201,0.5078
2250,1.0554,1.7600,0.3544,0.2299,0.6006,0.4901
2300,1.0304,1.7151,0.3429,0.2224,0.5811,0.4755
2350,1.0044,1.6775,0.3313,0.2124,0.5664,0.4646
2400,0.9784,1.6396,0.3199,0.2026,0.5518,0.4542
2450,0.9525,1.6067,0.3114,0.1972,0.5371,0.4454
2500,0.9348,1.5785,0.3029,0.1918,0.5225,0.4381
2550,0.9173,1.5540,0.2947,0.1883,0.5127,0.4317
2600,0.9039,1.5244,0.2890,0.1807,0.5029,0.4260
2650,0.8903,1.4949,0.2809,0.1772,0.4932,0.4208
2700,0.8726,1.4653,0.2753,0.1737,0.4834,0.4160
2750,0.8625,1.4357,0.2673,0.1665,0.4736,0.4116
2800,0.8499,1.4209,0.2645,0.1648,0.4688,0.4051
2850,0.8374,1.4061,0.2618,0.1631,0.4639,0.4017
2900,0.8270,1.3765,0.2563,0.1596,0.4541,0.3985
2950,0.8181,1.3617,0.2512,0.1544,0.4492,0.3956
3000,0.8127,1.3470,0.2484,0.1527,0.4443,0.3931
3050,0.8053,1.3174,0.2430,0.1494,0.4346,0.3908
3100,0.7983,1.3174,0.2407,0.1460,0.4346,0.3908
3150,0.7928,1.3026,0.2380,0.1443,0.4297,0.3891
3200,0.7872,1.2878,0.2353,0.1427,0.4248,0.3876
3250,0.7838,1.2878,0.2353,0.1427,0.4248,0.3865
3300,0.7781,1.2730,0.2326,0.1411,0.4199,0.3856
3350,0.7757,1.2583,0.2299,0.1394,0.4150,0.3850
3400,0.7757,1.2583,0.2299,0.1394,0.4150,0.3848
3450,0.7724,1.2582,0.2277,0.1362,0.4150,0.3848
3500,0.7724,1.2582,0.2277,0.1362,0.4150,0.3851
