mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,34.7131,47.7209,17.7864,13.5544,24.6094,26.5318,10
750,26.3759,36.3916,13.3041,10.0232,18.5938,18.2966,10
800,20.1718,28.2048,9.8712,7.3199,13.9844,10.1286,10
850,16.1712,22.6811,7.8865,5.8244,11.2109,6.7508,10
900,13.3711,18.8120,6.5073,4.8254,9.2188,5.5707,10
950,11.0519,15.5958,5.3210,3.9667,7.5781,6.1331,10
1000,9.6540,13.7245,4.6192,3.4297,6.6016,7.3868,10
1050,8.4083,12.0029,3.9766,2.9407,5.7031,7.3785,10
1100,7.5186,10.8054,3.5025,2.5688,5.0586,6.6183,10
1150,6.8768,9.9744,3.1555,2.2949,4.5898,5.6336,10
1200,6.4256,9.3820,2.9198,2.1053,4.2773,5.0300,10
1250,5.9444,8.7304,2.6606,1.9016,3.9258,4.5028,10
1300,5.5741,8.2321,2.4516,1.7548,3.6523,3.8650,10
1350,5.3010,7.8770,2.2989,1.6382,3.4375,3.1973,10
1400,5.1486,7.6958,2.2134,1.5870,3.3301,2.7232,10
1450,4.9602,7.4312,2.1081,1.5047,3.1836,2.4134,10
1500,4.8203,7.2804,2.0280,1.4345,3.0859,2.3550,10
1550,4.7343,7.1816,1.9691,1.3864,3.0078,2.5158,10
1600,4.6656,7.1194,1.9234,1.3479,2.9492,2.9714,10
1650,4.6189,7.0629,1.8779,1.3098,2.8906,3.5519,10
1700,4.5877,7.0799,1.8580,1.2897,2.8711,3.9654,10
1750,4.6650,7.1787,1.8635,1.2872,2.8906,4.2197,10
1800,4.8226,7.4545,1.9264,1.3307,2.9883,4.4280,10
1850,4.8857,7.6194,1.9440,1.3363,3.0273,4.4390,10
1900,5.0118,7.8161,1.9728,1.3586,3.1055,4.4075,10
1950,5.1886,8.1015,2.0224,1.3928,3.1836,4.3057,10
2000,5.3478,8.4224,2.0761,1.4227,3.2812,4.0959,10
2050,5.5608,8.6912,2.1293,1.4519,3.3789,3.9135,10
2100,5.7215,9.0181,2.1909,1.4938,3.4766,3.7650,10
2150,5.8822,9.2715,2.2434,1.5218,3.5742,3.6644,10
2200,6.0722,9.6137,2.3047,1.5634,3.6719,3.6313,10
2250,6.2962,9.9706,2.3686,1.5985,3.7891,3.6480,10
2300,6.5559,10.4243,2.4485,1.6644,3.9453,3.7161,10
2350,6.8480,10.9775,2.5470,1.7225,4.1211,3.8380,10
2400,7.2413,11.5166,2.6764,1.7873,4.3164,3.9836,10
2450,7.6673,12.1940,2.8129,1.8924,4.5703,4.1752,10
2500,8.1260,13.0268,2.9688,1.9867,4.8438,4.3981,10
2550,8.6175,13.8147,3.1484,2.1069,5.1367,4.6453,10
2600,9.2181,14.7768,3.3379,2.2217,5.4688,4.9242,10
2650,9.7579,15.6405,3.5167,2.3407,5.7617,5.1780,10
2700,10.3202,16.6060,3.7037,2.4518,6.0938,5.4609,10
2750,10.8825,17.5784,3.9055,2.5854,6.4258,5.7488,10
2800,11.5110,18.5936,4.1136,2.7081,6.7969,6.0572,10
2850,12.2538,19.7838,4.3382,2.8560,7.1680,6.3860,10
2900,12.9549,20.9158,4.5865,3.0194,7.5781,6.7230,10
2950,13.6895,22.1851,4.8260,3.1593,8.0078,7.0885,10
3000,14.4913,23.4764,5.0850,3.3289,8.4375,7.4780,10
3050,15.4257,25.0926,5.4149,3.5248,9.0234,8.0088,10
3100,16.5806,26.9494,5.7666,3.7537,9.6094,8.5552,10
3150,17.7264,28.8118,6.1651,4.0131,10.2734,9.1368,10
3200,18.9192,30.8775,6.6105,4.3030,11.0156,9.7798,10
3250,20.3550,33.0843,7.0793,4.6082,11.7969,10.4808,10
3300,21.8378,35.4944,7.5950,4.9438,12.6562,11.2840,10
3350,23.5903,38.3427,8.1694,5.2872,13.6719,12.1581,10
3400,25.5449,41.5197,8.8463,5.7253,14.8047,13.1739,10
3450,27.9039,45.3539,9.5858,6.2540,16.1719,14.3607,10
3500,30.6000,50.1004,10.5969,6.8582,17.7344,15.8407,10
