mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,27.9422,38.0139,14.0635,9.6497,19.9219,22.1636,10
750,19.8337,27.9896,9.7389,7.2510,13.7500,14.4008,10
800,15.1536,21.3197,7.2704,5.3983,10.3906,7.5068,10
850,11.9715,16.9425,5.7037,4.1777,8.1641,5.1064,10
900,9.9667,14.1888,4.7486,3.4781,6.7969,3.8731,10
950,8.4371,12.0440,3.9762,2.9284,5.7227,4.7857,10
1000,7.5274,10.8354,3.5160,2.5787,5.0781,6.1784,10
1050,6.6250,9.5981,3.0589,2.2341,4.4336,6.1910,10
1100,5.8975,8.5873,2.6739,1.9476,3.9258,5.3640,10
1150,5.3234,7.8182,2.3912,1.7166,3.5156,4.2402,10
1200,4.8736,7.1976,2.1514,1.5468,3.1934,3.7001,10
1250,4.4912,6.6680,1.9527,1.3915,2.9199,3.3860,10
1300,4.1887,6.2863,1.7959,1.2740,2.6953,2.8756,10
1350,3.9356,5.9441,1.6621,1.1810,2.5195,2.2434,10
1400,3.7257,5.6618,1.5535,1.0938,2.3730,1.7753,10
1450,3.5223,5.3749,1.4465,1.0089,2.2266,1.5403,10
1500,3.3706,5.1540,1.3704,0.9558,2.1094,1.4743,10
1550,3.2457,5.0089,1.3145,0.9125,2.0312,1.5750,10
1600,3.2149,4.9879,1.2819,0.8915,2.0020,1.9827,10
1650,3.1363,4.8912,1.2394,0.8578,1.9434,2.4962,10
1700,3.0957,4.8336,1.2066,0.8310,1.8994,2.8421,10
1750,3.0559,4.8128,1.1864,0.8130,1.8750,2.9604,10
1800,3.0548,4.8132,1.1754,0.8015,1.8652,2.9688,10
1850,3.0617,4.8460,1.1677,0.7921,1.8604,2.8957,10
1900,3.0994,4.8881,1.1660,0.7869,1.8652,2.7706,10
1950,3.1319,4.9799,1.1734,0.7878,1.8848,2.5647,10
2000,3.1714,5.0637,1.1739,0.7939,1.8994,2.3324,10
2050,3.2275,5.1534,1.1841,0.7966,1.9238,2.1270,10
2100,3.2602,5.2472,1.1911,0.7971,1.9434,1.9995,10
2150,3.3243,5.3490,1.2072,0.7974,1.9629,1.9211,10
2200,3.3905,5.4766,1.2219,0.8133,2.0020,1.8717,10
2250,3.4729,5.6298,1.2405,0.8212,2.0410,1.8566,10
2300,3.5726,5.8115,1.2648,0.8327,2.0898,1.8654,10
2350,3.6895,6.0465,1.2961,0.8599,2.1582,1.8985,10
2400,3.8409,6.3148,1.3420,0.8736,2.2363,1.9399,10
2450,4.0272,6.6416,1.3895,0.9117,2.3340,2.0108,10
2500,4.2489,7.0280,1.4593,0.9575,2.4512,2.1098,10
2550,4.5198,7.4760,1.5455,1.0083,2.6074,2.2420,10
2600,4.8807,8.0390,1.6675,1.0729,2.8027,2.4175,10
2650,5.0337,8.3498,1.7059,1.1066,2.8906,2.4778,10
2700,5.2276,8.6950,1.7558,1.1323,2.9883,2.5560,10
2750,5.4574,9.1007,1.8317,1.1646,3.1055,2.6558,10
2800,5.6977,9.5339,1.8966,1.2158,3.2422,2.7675,10
2850,5.9993,10.0294,1.9880,1.2744,3.3984,2.9001,10
2900,6.3096,10.5481,2.0815,1.3264,3.5742,3.0474,10
2950,6.6845,11.2013,2.1855,1.3841,3.7695,3.2168,10
3000,7.0655,11.8397,2.3100,1.4630,3.9844,3.4039,10
3050,7.4811,12.5779,2.4459,1.5491,4.2188,3.6064,10
3100,8.0026,13.3820,2.5815,1.6248,4.4727,3.8507,10
3150,8.5268,14.3518,2.7383,1.7126,4.7656,4.1186,10
3200,9.1559,15.4105,2.9146,1.8390,5.1172,4.4309,10
3250,9.8987,16.6949,3.1504,1.9579,5.5078,4.7916,10
3300,10.7888,18.1162,3.4185,2.1245,5.9766,5.2343,10
3350,11.7942,19.8918,3.7206,2.3328,6.5625,5.7520,10
3400,13.0578,22.0231,4.1370,2.5543,7.2656,6.3955,10
3450,14.6074,24.6661,4.6698,2.9021,8.1641,7.1892,10
3500,16.6343,27.9977,5.3177,3.3047,9.2969,8.2532,10
