mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs
700,15.0893,20.0187,8.0234,6.0028,10.9766,11.1405
750,10.5282,14.4320,5.3284,4.0298,7.4219,5.5826
800,7.8617,11.0273,3.7324,2.7374,5.3906,3.0875
850,6.1409,8.6524,2.9382,2.1816,4.1992,2.7399
900,5.0680,7.1925,2.3801,1.7456,3.4375,2.5942
950,4.2186,6.0220,1.9811,1.4530,2.8613,3.6679
1000,3.6384,5.2059,1.6725,1.2112,2.4414,4.4363
1050,3.1604,4.5458,1.4367,1.0464,2.1094,4.0602
1100,2.7800,4.0303,1.2480,0.9012,1.8457,3.2520
1150,2.4842,3.6289,1.1053,0.7947,1.6406,2.1975
1200,2.2520,3.2965,0.9894,0.7051,1.4795,1.6938
1250,2.0450,3.0100,0.8882,0.6301,1.3330,1.5165
1300,1.8824,2.7901,0.8103,0.5722,1.2207,1.2084
1350,1.7377,2.5884,0.7348,0.5198,1.1182,0.9196
1400,1.6246,2.4296,0.6809,0.4794,1.0400,0.6938
1450,1.5102,2.2729,0.6249,0.4359,0.9619,0.6813
1500,1.4136,2.1367,0.5805,0.4049,0.8936,0.7539
1550,1.3242,2.0170,0.5383,0.3718,0.8350,0.8533
1600,1.2484,1.9089,0.5017,0.3448,0.7812,1.1881
1650,1.1840,1.8205,0.4684,0.3226,0.7373,1.2188
1700,1.1269,1.7418,0.4400,0.3000,0.6982,1.2496
1750,1.0691,1.6610,0.4154,0.2832,0.6592,1.1811
1800,1.0186,1.5905,0.3939,0.2686,0.6250,1.0763
1850,0.9770,1.5341,0.3723,0.2539,0.5908,0.9396
1900,0.9367,1.4768,0.3541,0.2390,0.5664,0.8370
1950,0.9006,1.4320,0.3385,0.2244,0.5420,0.7095
2000,0.8723,1.3872,0.3263,0.2163,0.5225,0.5590
2050,0.8437,1.3526,0.3095,0.2082,0.5029,0.4471
2100,0.8234,1.3200,0.3031,0.1965,0.4932,0.3907
2150,0.8021,1.2957,0.2891,0.1924,0.4736,0.3649
2200,0.7856,1.2641,0.2807,0.1848,0.4639,0.3654
2250,0.7596,1.2356,0.2731,0.1770,0.4443,0.4132
2300,0.7429,1.2085,0.2608,0.1698,0.4346,0.4480
2350,0.7246,1.1777,0.2520,0.1640,0.4199,0.4397
2400,0.7057,1.1542,0.2432,0.1583,0.4053,0.3950
2450,0.6919,1.1348,0.2373,0.1545,0.3955,0.3622
2500,0.6802,1.1204,0.2324,0.1495,0.3906,0.3465
2550,0.6687,1.1021,0.2258,0.1477,0.3857,0.3477
2600,0.6577,1.0864,0.2201,0.1439,0.3760,0.3946
2650,0.6494,1.0737,0.2179,0.1402,0.3662,0.4741
2700,0.6377,1.0653,0.2105,0.1345,0.3662,0.4895
2750,0.6321,1.0521,0.2068,0.1337,0.3564,0.4796
2800,0.6236,1.0443,0.2049,0.1309,0.3564,0.4467
2850,0.6175,1.0337,0.2027,0.1273,0.3467,0.3968
2900,0.6120,1.0231,0.1993,0.1273,0.3467,0.3600
2950,0.6082,1.0180,0.1970,0.1237,0.3369,0.3341
3000,0.6028,1.0113,0.1919,0.1211,0.3369,0.3155
3050,0.5974,1.0078,0.1901,0.1184,0.3369,0.3038
3100,0.5941,0.9999,0.1874,0.1167,0.3320,0.2955
3150,0.5906,0.9917,0.1863,0.1176,0.3271,0.2897
3200,0.5880,0.9916,0.1846,0.1150,0.3271,0.2871
3250,0.5853,0.9916,0.1846,0.1150,0.3271,0.2842
3300,0.5817,0.9769,0.1819,0.1133,0.3223,0.2823
3350,0.5831,0.9621,0.1808,0.1141,0.3174,0.2809
3400,0.5805,0.9621,0.1808,0.1141,0.3174,0.2801
3450,0.5780,0.9621,0.1808,0.1141,0.3174,0.2798
3500,0.5780,0.9621,0.1774,0.1091,0.3174,0.2797
