mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,31.1937,42.4476,17.1694,13.5019,22.8906,18.4710,10
750,22.7064,30.6005,11.8405,9.0570,16.3281,10.9660,10
800,16.7726,23.0749,8.4129,6.3382,11.7578,6.7246,10
850,12.9834,17.9768,6.5123,4.9063,9.1016,5.6924,10
900,10.5345,14.6818,5.2192,3.9014,7.3438,6.2941,10
950,8.8385,12.4350,4.3014,3.1897,6.0938,7.8961,10
1000,7.7328,10.8788,3.6899,2.7397,5.2734,8.6785,10
1050,6.8036,9.6258,3.2003,2.3666,4.5898,8.2416,10
1100,6.1087,8.6930,2.8375,2.0927,4.1211,7.2560,10
1150,5.6038,8.0154,2.5805,1.8847,3.7402,6.0202,10
1200,5.2071,7.4867,2.3767,1.7285,3.4570,4.7977,10
1250,4.8393,7.0157,2.2010,1.5939,3.2129,3.8826,10
1300,4.5599,6.6469,2.0591,1.4782,3.0273,3.2244,10
1350,4.3770,6.3939,1.9474,1.4001,2.8906,2.7149,10
1400,4.2662,6.2448,1.8813,1.3466,2.8027,2.3769,10
1450,4.1242,6.0488,1.8025,1.2845,2.6953,2.3015,10
1500,4.0451,5.9539,1.7568,1.2463,2.6367,2.4992,10
1550,4.0255,5.9613,1.7373,1.2268,2.6172,2.9873,10
1600,4.0917,6.0696,1.7458,1.2405,2.6465,3.7830,10
1650,4.0217,5.9907,1.7115,1.2030,2.5879,3.9949,10
1700,3.9864,5.9723,1.6858,1.1794,2.5586,4.0088,10
1750,3.9712,5.9495,1.6731,1.1649,2.5488,3.9303,10
1800,3.9915,5.9592,1.6731,1.1649,2.5488,3.8272,10
1850,4.0833,6.1262,1.7051,1.1815,2.6074,3.8004,10
1900,4.2163,6.3456,1.7562,1.2169,2.6855,3.8386,10
1950,4.4003,6.6225,1.8208,1.2700,2.8027,3.8963,10
2000,4.6113,6.9950,1.9033,1.3275,2.9297,3.9510,10
2050,4.6538,7.0469,1.9160,1.3364,2.9492,3.8025,10
2100,4.7083,7.1716,1.9212,1.3336,2.9688,3.6890,10
2150,4.7822,7.2711,1.9465,1.3512,3.0078,3.6554,10
2200,4.8998,7.4924,1.9768,1.3655,3.0664,3.7143,10
2250,5.1027,7.8026,2.0586,1.4220,3.1934,3.9519,10
2300,5.3836,8.3081,2.1719,1.5003,3.3691,4.2826,10
2350,5.7581,8.8860,2.3140,1.5906,3.6035,4.6587,10
2400,6.2730,9.6807,2.5038,1.7329,3.9258,5.1252,10
2450,6.6508,10.1885,2.6284,1.8191,4.1211,5.4417,10
2500,7.0257,10.8023,2.7792,1.9141,4.3750,5.8513,10
2550,7.5019,11.5441,2.9617,2.0155,4.6484,6.3956,10
2600,7.9747,12.3267,3.1484,2.1426,4.9414,7.0653,10
2650,8.5105,13.1550,3.3599,2.2865,5.2734,7.6836,10
2700,9.0779,14.1574,3.5839,2.4390,5.6250,8.2932,10
2750,9.7246,15.1090,3.8204,2.5999,5.9961,8.8956,10
2800,10.3581,16.0933,4.0533,2.7443,6.3867,9.4442,10
2850,11.0233,17.1268,4.3136,2.9205,6.7969,9.9017,10
2900,11.6885,18.1603,4.5739,3.0968,7.2070,10.2462,10
2950,12.4145,19.3841,4.8342,3.2730,7.6172,10.4087,10
3000,13.1784,20.4878,5.0957,3.4744,8.0859,10.7184,10
3050,13.8151,21.5710,5.3418,3.6423,8.4766,11.0425,10
3100,14.5224,22.7843,5.5880,3.8101,8.8672,11.3729,10
3150,15.2901,23.9887,5.8361,3.9386,9.3359,11.7276,10
3200,16.1360,25.4332,6.1291,4.1364,9.8047,12.1477,10
3250,17.0360,26.8518,6.4710,4.3671,10.3516,12.6416,10
3300,18.1521,28.6200,6.8339,4.5879,10.9766,13.2182,10
3350,19.4728,30.7106,7.2663,4.8523,11.7188,13.9511,10
3400,20.9658,33.2010,7.8234,5.2243,12.6172,14.8273,10
3450,22.9131,36.4333,8.5151,5.6557,13.7891,16.0254,10
3500,25.5666,40.4938,9.4170,6.2207,15.3125,17.5475,10
