mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,22.9420,30.3972,12.2022,9.1653,16.6406,15.2534,10
750,16.4198,22.4245,8.3571,6.3205,11.6406,8.1452,10
800,12.5088,17.3277,6.1630,4.6069,8.6719,4.6535,10
850,9.5137,13.2639,4.5804,3.4146,6.5234,3.9633,10
900,7.9261,11.1339,3.7719,2.8006,5.3906,4.2006,10
950,6.6338,9.4017,3.1459,2.3264,4.5117,5.6694,10
1000,5.7566,8.1953,2.7181,1.9936,3.9258,6.6855,10
1050,5.0680,7.2346,2.3717,1.7322,3.4375,6.3067,10
1100,4.5140,6.4505,2.0880,1.5186,3.0371,5.3101,10
1150,4.1005,5.9075,1.8691,1.3614,2.7441,4.1697,10
1200,3.7556,5.4385,1.6966,1.2305,2.5000,3.2700,10
1250,3.4806,5.0653,1.5527,1.1163,2.3047,2.6864,10
1300,3.2703,4.7615,1.4474,1.0406,2.1484,2.2336,10
1350,3.1000,4.5542,1.3584,0.9680,2.0312,1.8156,10
1400,2.9814,4.3882,1.2948,0.9185,1.9434,1.5286,10
1450,2.8385,4.1999,1.2187,0.8606,1.8359,1.4847,10
1500,2.7172,4.0340,1.1593,0.8148,1.7529,1.6316,10
1550,2.6179,3.9289,1.1028,0.7765,1.6846,2.0387,10
1600,2.5551,3.8402,1.0668,0.7476,1.6357,2.5620,10
1650,2.4964,3.7801,1.0317,0.7230,1.5820,2.6415,10
1700,2.4687,3.7184,1.0049,0.6975,1.5527,2.6202,10
1750,2.4532,3.7300,0.9880,0.6871,1.5430,2.5288,10
1800,2.4499,3.7289,0.9740,0.6708,1.5332,2.4226,10
1850,2.4733,3.7820,0.9794,0.6711,1.5479,2.3506,10
1900,2.5092,3.8229,0.9847,0.6714,1.5625,2.3122,10
1950,2.5610,3.9233,1.0032,0.6757,1.5869,2.2434,10
2000,2.6004,3.9837,1.0146,0.6798,1.6113,2.1509,10
2050,2.6320,4.0683,1.0228,0.6816,1.6309,1.9606,10
2100,2.6925,4.1833,1.0370,0.6874,1.6602,1.8096,10
2150,2.7614,4.2744,1.0541,0.6949,1.6943,1.7429,10
2200,2.8410,4.4360,1.0801,0.7082,1.7432,1.8049,10
2250,2.9411,4.5773,1.1073,0.7260,1.7871,1.9388,10
2300,3.0375,4.7475,1.1344,0.7354,1.8457,2.0640,10
2350,3.1492,4.9446,1.1704,0.7587,1.9043,2.1602,10
2400,3.2784,5.1474,1.2184,0.7899,1.9824,2.2188,10
2450,3.4240,5.3999,1.2665,0.8210,2.0605,2.2128,10
2500,3.5862,5.6559,1.3211,0.8515,2.1582,2.2598,10
2550,3.7485,5.9604,1.3809,0.8900,2.2559,2.4342,10
2600,3.9433,6.2700,1.4526,0.9362,2.3730,2.7593,10
2650,4.1741,6.6112,1.5303,0.9863,2.5000,3.1408,10
2700,4.4187,6.9986,1.6133,1.0338,2.6465,3.4470,10
2750,4.7019,7.4780,1.7086,1.0948,2.8027,3.6631,10
2800,4.9968,7.9470,1.8016,1.1635,2.9785,3.8128,10
2850,5.3245,8.5357,1.9197,1.2398,3.1738,3.9145,10
2900,5.7013,9.1397,2.0556,1.3275,3.3984,3.9666,10
2950,6.1564,9.8301,2.1999,1.4124,3.6523,4.0461,10
3000,6.6486,10.6568,2.3646,1.5182,3.9258,4.1576,10
3050,7.0786,11.3460,2.5271,1.6000,4.1797,4.2377,10
3100,7.5772,12.1901,2.6710,1.7047,4.4531,4.3994,10
3150,8.1089,13.0455,2.8584,1.8243,4.7656,4.6049,10
3200,8.7145,14.0697,3.0446,1.9315,5.0977,4.8605,10
3250,9.3489,15.0939,3.2524,2.0508,5.4688,5.1551,10
3300,10.0501,16.3482,3.4963,2.2046,5.8789,5.4995,10
3350,10.8685,17.6073,3.7481,2.3730,6.3281,5.8745,10
3400,11.7071,18.9659,4.0366,2.5295,6.8164,6.2868,10
3450,12.6713,20.5955,4.3303,2.6965,7.3438,6.7281,10
3500,13.6150,22.2103,4.6528,2.8973,7.8906,7.2118,10
