mass,significance_exp,significance_obs
700,7.4206,0.0000
750,9.2127,0.0000
800,10.9971,1.4803
850,12.3875,0.0000
900,13.3978,0.0000
950,14.3230,0.3092
1000,14.9643,1.0373
1050,15.6887,0.3466
1100,16.3281,0.0337
1150,16.8683,0.0000
1200,17.3194,0.0000
1250,17.6736,0.0926
1300,17.9445,0.0841
1350,18.1216,0.0000
1400,18.1609,0.0000
1450,18.0802,0.0000
1500,17.8968,0.0000
1550,17.6552,1.0829
1600,17.4122,1.1444
1650,17.1029,0.7585
1700,16.7958,0.0967
1750,16.4428,0.0000
1800,16.0980,0.0000
1850,15.7465,0.0000
1900,15.4064,0.0000
1950,15.0383,0.0000
2000,14.6664,0.0000
2050,14.2717,0.0000
2100,13.8703,0.0000
2150,13.4538,0.0000
2200,13.0448,0.0000
2250,12.6481,0.0000
2300,12.2641,0.0000
2350,11.8798,0.0000
2400,11.4995,0.0000
2450,11.1152,0.0000
2500,10.7290,0.0000
2550,10.3395,0.0000
2600,9.9487,0.0000
2650,9.5688,0.0000
2700,9.1919,0.0000
2750,8.8263,0.0000
2800,8.4646,0.0000
2850,8.1153,0.0000
2900,7.7715,0.0000
2950,7.4399,0.0000
3000,7.1157,0.0000
3050,6.8058,0.0000
3100,6.5043,0.0000
3150,6.2120,0.0000
3200,5.9280,0.0000
3250,5.6525,0.0000
3300,5.3827,0.0000
3350,5.1203,0.0000
3400,4.8598,0.0000
3450,4.6028,0.0000
3500,4.3427,0.0000
