mass,significance_exp,significance_obs
700,10.2911,0.0000
750,13.5623,0.0000
800,16.2432,1.4571
850,18.4037,0.5148
900,19.6978,0.0000
950,21.1423,0.1354
1000,22.1730,0.7440
1050,23.2234,0.0000
1100,23.9923,0.0000
1150,24.5357,0.0000
1200,24.9192,0.0000
1250,25.1082,0.2471
1300,25.2245,0.5096
1350,25.0656,0.0000
1400,24.6950,0.0000
1450,24.2338,0.3234
1500,23.7291,1.3827
1550,23.1819,1.5672
1600,22.6069,1.2297
1650,22.0618,0.6499
1700,21.5002,0.0847
1750,20.9392,0.0000
1800,20.3720,0.0000
1850,19.8261,0.0000
1900,19.2787,0.0000
1950,18.7108,0.0000
2000,18.1426,0.0000
2050,17.5582,0.0000
2100,16.9825,0.0000
2150,16.3881,0.0000
2200,15.8166,0.0000
2250,15.2560,0.0000
2300,14.7288,0.0000
2350,14.2055,0.0000
2400,13.6982,0.0000
2450,13.1912,0.0000
2500,12.6846,0.0000
2550,12.1810,0.0000
2600,11.6798,0.0000
2650,11.2017,0.0000
2700,10.7318,0.0000
2750,10.2806,0.0000
2800,9.8389,0.0000
2850,9.4168,0.0000
2900,9.0052,0.0000
2950,8.6128,0.0000
3000,8.2315,0.0000
3050,7.8712,0.0000
3100,7.5223,0.0000
3150,7.1863,0.0000
3200,6.8593,0.0000
3250,6.5428,0.0000
3300,6.2285,0.0000
3350,5.9200,0.0000
3400,5.6073,0.0000
3450,5.2908,0.0000
3500,4.9621,0.0000
