mass,significance_exp,significance_obs
700,0.9483,0.5338
750,1.0946,0.0000
800,1.4125,0.0000
850,1.7498,0.0000
900,1.9459,0.7141
950,2.1074,1.0460
1000,2.3741,1.1483
1050,2.7416,1.0037
1100,3.1063,0.7569
1150,3.3842,0.3992
1200,3.5746,0.0000
1250,3.7572,0.0000
1300,3.9176,0.0000
1350,4.0319,0.0000
1400,4.1128,0.0000
1450,4.2307,0.0000
1500,4.3367,0.2802
1550,4.4113,0.7585
1600,4.4474,0.8467
1650,4.4905,0.5560
1700,4.4969,0.0814
1750,4.4860,0.0000
1800,4.4531,0.0000
1850,4.3938,0.0000
1900,4.3245,0.0000
1950,4.2496,0.0000
2000,4.1651,0.0000
2050,4.0888,0.0000
2100,3.9935,0.0000
2150,3.8831,0.0000
2200,3.7554,0.0000
2250,3.6434,0.0102
2300,3.5269,0.3113
2350,3.4101,0.4401
2400,3.2981,0.4480
2450,3.1895,0.2555
2500,3.0814,0.1473
2550,2.9725,0.2983
2600,2.8614,0.6558
2650,2.7466,0.9577
2700,2.6283,1.1196
2750,2.5057,1.1622
2800,2.3791,1.0955
2850,2.2498,0.9577
2900,2.1171,0.7707
2950,1.9827,0.5462
3000,1.8454,0.2955
3050,1.7363,0.0823
3100,1.6285,0.0000
3150,1.5244,0.0000
3200,1.4249,0.0000
3250,1.3323,0.0000
3300,1.2484,0.0000
3350,1.1754,0.0000
3400,1.1158,0.0000
3450,1.0719,0.0000
3500,1.0466,0.0000
