mass,significance_exp,significance_obs
700,1.7001,0.1775
750,2.1901,0.4571
800,2.7942,0.0000
850,3.4319,0.0000
900,4.0634,0.0000
950,4.7695,0.0000
1000,5.4518,0.9634
1050,6.1435,1.4016
1100,6.8285,0.9552
1150,7.4727,0.0000
1200,8.1236,0.0000
1250,8.7381,0.7800
1300,9.3616,0.3766
1350,9.9490,0.0000
1400,10.5411,0.0000
1450,11.0993,0.0000
1500,11.6537,0.0000
1550,12.1637,0.0000
1600,12.6275,0.0000
1650,13.1199,0.6426
1700,13.6013,1.6308
1750,14.0655,2.1552
1800,14.5261,2.0191
1850,14.9876,1.4026
1900,15.4385,0.5984
1950,15.8719,0.0000
2000,16.2685,0.0000
2050,16.6291,0.0000
2100,16.9549,0.0000
2150,17.2674,0.0000
2200,17.5807,0.0000
2250,17.9305,0.0000
2300,18.2910,0.0000
2350,18.6464,0.0000
2400,18.9928,0.0000
2450,19.3066,0.0000
2500,19.6111,0.0000
2550,19.8876,0.0000
2600,20.1646,0.0000
2650,20.4319,0.0000
2700,20.6978,0.0000
2750,20.9460,0.0000
2800,21.1896,0.0000
2850,21.4181,0.0000
2900,21.6396,0.0000
2950,21.8475,0.0000
3000,22.0470,0.0000
3050,22.2366,0.0000
3100,22.4176,0.0000
3150,22.5846,0.0000
3200,22.7439,0.0000
3250,22.8876,0.0000
3300,23.0244,0.0000
3350,23.1443,0.0000
3400,23.2581,0.0000
3450,23.3540,0.0000
3500,23.4442,0.0000
