mass,significance_exp,significance_obs
700,0.8845,0.3388
750,1.0644,0.0657
800,1.3902,0.0000
850,1.5256,0.0000
900,1.7751,0.0000
950,2.1456,0.0000
1000,2.5334,0.5476
1050,2.9898,1.0601
1100,3.4137,0.9321
1150,3.8068,0.4886
1200,4.1535,0.3217
1250,4.5211,0.3973
1300,4.8550,0.2013
1350,5.1514,0.0000
1400,5.3388,0.0000
1450,5.5470,0.0000
1500,5.7153,0.0000
1550,5.8596,0.0000
1600,5.9794,0.0000
1650,6.0701,0.6106
1700,6.1134,1.1988
1750,6.0806,1.4941
1800,5.9346,1.5323
1850,5.9004,1.3866
1900,5.8296,1.1168
1950,5.7404,0.7704
2000,5.6481,0.3464
2050,5.5359,0.0000
2100,5.4381,0.0000
2150,5.3426,0.0000
2200,5.2375,0.0000
2250,5.1415,0.0000
2300,5.0250,0.0000
2350,4.8915,0.0000
2400,4.7486,0.0000
2450,4.5736,0.0000
2500,4.3926,0.0000
2550,4.2064,0.0000
2600,4.0176,0.0000
2650,3.8738,0.0000
2700,3.7335,0.0000
2750,3.5971,0.0000
2800,3.4645,0.0000
2850,3.3356,0.0000
2900,3.2104,0.0000
2950,3.0887,0.0000
3000,2.9703,0.0000
3050,2.8343,0.0000
3100,2.7023,0.0000
3150,2.5742,0.0000
3200,2.4489,0.0000
3250,2.3260,0.0000
3300,2.2046,0.0000
3350,2.0840,0.0000
3400,1.9631,0.0000
3450,1.8408,0.0000
3500,1.7160,0.0000
