mass,significance_exp,significance_obs
700,2.1004,0.2738
750,2.7719,0.0000
800,3.3185,0.0000
850,4.2020,0.0000
900,4.8484,0.0000
950,5.7282,0.5025
1000,6.5935,1.7350
1050,7.6035,1.9363
1100,8.5487,1.4353
1150,9.4600,0.4084
1200,10.2865,0.3121
1250,11.0925,0.7407
1300,11.8849,0.1919
1350,12.6060,0.0000
1400,13.2252,0.0000
1450,13.8984,0.0000
1500,14.5511,0.0000
1550,15.1658,0.0000
1600,15.7676,0.6142
1650,16.3421,1.3511
1700,16.9084,2.1029
1750,17.4532,2.4508
1800,17.9839,2.1838
1850,18.5106,1.4353
1900,19.0082,0.5247
1950,19.4898,0.0487
2000,19.9174,0.0000
2050,20.3269,0.0000
2100,20.6845,0.0000
2150,21.0333,0.0000
2200,21.3830,0.0000
2250,21.7954,0.0000
2300,22.2138,0.0000
2350,22.6322,0.0000
2400,23.0186,0.0000
2450,23.3582,0.0000
2500,23.6726,0.0000
2550,23.9512,0.0000
2600,24.2300,0.0000
2650,24.5115,0.2382
2700,24.7920,0.6009
2750,25.0491,0.5163
2800,25.3039,0.1331
2850,25.5378,0.0000
2900,25.7649,0.0000
2950,25.9747,0.0000
3000,26.1725,0.0000
3050,26.3803,0.0000
3100,26.5769,0.0000
3150,26.7615,0.0000
3200,26.9352,0.0000
3250,27.0976,0.0000
3300,27.2489,0.0000
3350,27.3901,0.0000
3400,27.5194,0.0000
3450,27.6410,0.0000
3500,27.7498,0.0000
