mass,significance_exp,significance_obs
700,1.1597,0.0000
750,1.3900,0.0000
800,1.6429,0.0000
850,1.9786,0.0000
900,2.3912,0.0000
950,2.8639,0.4280
1000,3.3282,1.4597
1050,3.8655,1.7888
1100,4.3587,1.6025
1150,4.7756,1.1622
1200,5.1292,0.8309
1250,5.4985,0.6549
1300,5.8158,0.3546
1350,6.0735,0.0000
1400,6.2624,0.0000
1450,6.4536,0.0000
1500,6.5674,0.0000
1550,6.6071,0.0733
1600,6.5470,0.8579
1650,6.6367,1.4651
1700,6.7143,1.8395
1750,6.7605,1.9950
1800,6.7651,1.9485
1850,6.6715,1.7564
1900,6.5272,1.5048
1950,6.3502,1.2220
2000,6.1531,0.8792
2050,6.1532,0.4294
2100,6.1372,0.2009
2150,6.1046,0.0454
2200,6.0435,0.0000
2250,5.8779,0.0000
2300,5.6683,0.0440
2350,5.4146,0.0688
2400,5.1080,0.0476
2450,4.9312,0.0000
2500,4.7480,0.0000
2550,4.5615,0.0000
2600,4.3742,0.0676
2650,4.1843,0.2494
2700,4.0027,0.3893
2750,3.8303,0.4293
2800,3.6665,0.3704
2850,3.5119,0.2694
2900,3.3650,0.1171
2950,3.2264,0.0000
3000,3.0945,0.0000
3050,2.9900,0.0000
3100,2.8871,0.0000
3150,2.7857,0.0000
3200,2.6843,0.0000
3250,2.5821,0.0000
3300,2.4776,0.0000
3350,2.3698,0.0000
3400,2.2567,0.0000
3450,2.1372,0.0000
3500,2.0091,0.0000
