mass,significance_exp,significance_obs
700,1.4447,0.0000
750,1.7686,0.0000
800,2.2262,0.0000
850,2.7424,0.0000
900,3.1959,0.0000
950,3.7092,0.4551
1000,4.2708,1.6520
1050,4.9560,1.8925
1100,5.6331,1.5748
1150,6.2201,0.9346
1200,6.7310,0.6608
1250,7.2301,0.6450
1300,7.6825,0.3011
1350,8.0601,0.0000
1400,8.3511,0.0000
1450,8.6768,0.0000
1500,8.9774,0.0000
1550,9.2249,0.0000
1600,9.4089,0.8714
1650,9.6078,1.5465
1700,9.7449,2.0071
1750,9.8416,2.1696
1800,9.8862,2.0316
1850,9.8975,1.7264
1900,9.8645,1.3155
1950,9.8068,0.8755
2000,9.7278,0.4066
2050,9.6597,0.0000
2100,9.5586,0.0000
2150,9.4092,0.0000
2200,9.1980,0.0000
2250,9.0589,0.0000
2300,8.8905,0.0000
2350,8.7027,0.0000
2400,8.5042,0.0000
2450,8.3071,0.0000
2500,8.0984,0.0000
2550,7.8762,0.0000
2600,7.6420,0.0000
2650,7.4245,0.0507
2700,7.1920,0.2816
2750,6.9475,0.3395
2800,6.6920,0.2497
2850,6.4267,0.0675
2900,6.1513,0.0000
2950,5.8647,0.0000
3000,5.5629,0.0000
3050,5.3589,0.0000
3100,5.1551,0.0000
3150,4.9521,0.0000
3200,4.7507,0.0000
3250,4.5506,0.0000
3300,4.3524,0.0000
3350,4.1563,0.0000
3400,3.9619,0.0000
3450,3.7701,0.0000
3500,3.5806,0.0000
